Cn2_case,Cn2_m-2/3,L_m,pupil_mm,r0_spherical_mm,D_over_r0,rho0_mm,fresnel_sqrt(L/k)_mm,rytov_plane_sR2,rytov_spherical_b02,sigmaI2_point_allregime,sigmaI2_strong_asymptote,aperture_avg_A_weak,sigmaI2_pupil_weak_only,aoa_rms_one_axis_arcmin_min,aoa_rms_one_axis_arcmin_max,aoa_rms_in_PHONE_px_max,aoa_rms_in_DESKTOP_px_max,seeing_lambda_over_r0_arcmin,diffraction_lambda_over_D_arcmin,isoplanatic_theta0_arcmin,f_scint_weak_Hz_(v/sqrt(lambda L)),f_scint_strong_Hz_(v/rho0)
1e-15 stable night,1e-15,5000,5,61.8,0.0809,29.43,20.92,1.275,0.5182,0.5,nan,0.9985,nan,0.01299,0.01942,0.02363,0.01566,0.03059,0.3782,0.01337,9.5-57.2,17.0-101.9
1e-15 stable night,1e-15,5000,6,61.8,0.09708,29.43,20.92,1.275,0.5182,0.5,nan,0.9977,nan,0.01299,0.01906,0.02319,0.01538,0.03059,0.3151,0.01337,9.5-57.2,17.0-101.9
1e-15 stable night,1e-15,5000,7,61.8,0.1133,29.43,20.92,1.275,0.5182,0.5,nan,0.9967,nan,0.01299,0.01906,0.02319,0.01538,0.03059,0.2701,0.01337,9.5-57.2,17.0-101.9
1e-15 stable night,1e-15,10000,5,40.78,0.1226,19.42,29.59,4.543,1.847,1.258,3.136,0.9993,nan,0.01837,0.02746,0.03341,0.02215,0.04637,0.3782,0.004412,6.7-40.5,25.8-154.5
1e-15 stable night,1e-15,10000,6,40.78,0.1471,19.42,29.59,4.543,1.847,1.258,3.136,0.999,nan,0.01837,0.02696,0.0328,0.02175,0.04637,0.3151,0.004412,6.7-40.5,25.8-154.5
1e-15 stable night,1e-15,10000,7,40.78,0.1717,19.42,29.59,4.543,1.847,1.258,3.136,0.9985,nan,0.01837,0.02696,0.0328,0.02175,0.04637,0.2701,0.004412,6.7-40.5,25.8-154.5
1e-15 stable night,1e-15,14000,5,33.32,0.1501,15.87,35.01,8.419,3.422,1.567,2.669,0.9995,nan,0.02173,0.03249,0.03953,0.02621,0.05674,0.3782,0.002575,5.7-34.2,31.5-189.1
1e-15 stable night,1e-15,14000,6,33.32,0.1801,15.87,35.01,8.419,3.422,1.567,2.669,0.9993,nan,0.02173,0.0319,0.03881,0.02573,0.05674,0.3151,0.002575,5.7-34.2,31.5-189.1
1e-15 stable night,1e-15,14000,7,33.32,0.2101,15.87,35.01,8.419,3.422,1.567,2.669,0.999,nan,0.02173,0.0319,0.03881,0.02573,0.05674,0.2701,0.002575,5.7-34.2,31.5-189.1
8.4e-15 SLC night <18.5 m,8.4e-15,2200,5,28.21,0.1773,13.43,13.88,2.377,0.9664,0.8393,nan,0.9961,nan,0.02497,0.03733,0.04542,0.03012,0.06703,0.3782,0.01387,14.4-86.2,37.2-223.3
8.4e-15 SLC night <18.5 m,8.4e-15,2200,6,28.21,0.2127,13.43,13.88,2.377,0.9664,0.8393,nan,0.994,nan,0.02497,0.03665,0.04459,0.02956,0.06703,0.3151,0.01387,14.4-86.2,37.2-223.3
8.4e-15 SLC night <18.5 m,8.4e-15,2200,7,28.21,0.2482,13.43,13.88,2.377,0.9664,0.8393,nan,0.9915,nan,0.02497,0.03665,0.04459,0.02956,0.06703,0.2701,0.01387,14.4-86.2,37.2-223.3
8.4e-15 SLC night <18.5 m,8.4e-15,3000,5,23.42,0.2135,11.15,16.21,4.198,1.706,1.208,3.205,0.9973,nan,0.02916,0.0436,0.05304,0.03517,0.08074,0.3782,0.008445,12.3-73.9,44.8-269.0
8.4e-15 SLC night <18.5 m,8.4e-15,3000,6,23.42,0.2562,11.15,16.21,4.198,1.706,1.208,3.205,0.9958,nan,0.02916,0.0428,0.05207,0.03452,0.08074,0.3151,0.008445,12.3-73.9,44.8-269.0
8.4e-15 SLC night <18.5 m,8.4e-15,3000,7,23.42,0.2989,11.15,16.21,4.198,1.706,1.208,3.205,0.994,nan,0.02916,0.0428,0.05207,0.03452,0.08074,0.2701,0.008445,12.3-73.9,44.8-269.0
8.4e-15 SLC night <18.5 m,8.4e-15,5000,5,17.24,0.2901,8.208,20.92,10.71,4.353,1.637,2.516,0.9985,nan,0.03764,0.05628,0.06848,0.0454,0.1097,0.3782,0.00373,9.5-57.2,60.9-365.5
8.4e-15 SLC night <18.5 m,8.4e-15,5000,6,17.24,0.3481,8.208,20.92,10.71,4.353,1.637,2.516,0.9977,nan,0.03764,0.05525,0.06722,0.04457,0.1097,0.3151,0.00373,9.5-57.2,60.9-365.5
8.4e-15 SLC night <18.5 m,8.4e-15,5000,7,17.24,0.4061,8.208,20.92,10.71,4.353,1.637,2.516,0.9967,nan,0.03764,0.05525,0.06722,0.04457,0.1097,0.2701,0.00373,9.5-57.2,60.9-365.5
8.4e-15 SLC night <18.5 m,8.4e-15,10000,5,11.37,0.4397,5.415,29.59,38.16,15.51,1.621,1.912,0.9993,nan,0.05323,0.07959,0.09684,0.06421,0.1663,0.3782,0.00123,6.7-40.5,92.3-554.0
8.4e-15 SLC night <18.5 m,8.4e-15,10000,6,11.37,0.5276,5.415,29.59,38.16,15.51,1.621,1.912,0.999,nan,0.05323,0.07814,0.09507,0.06303,0.1663,0.3151,0.00123,6.7-40.5,92.3-554.0
8.4e-15 SLC night <18.5 m,8.4e-15,10000,7,11.37,0.6156,5.415,29.59,38.16,15.51,1.621,1.912,0.9985,nan,0.05323,0.07814,0.09507,0.06303,0.1663,0.2701,0.00123,6.7-40.5,92.3-554.0
8.4e-15 SLC night <18.5 m,8.4e-15,14000,5,9.293,0.538,4.425,35.01,70.72,28.75,1.516,1.712,0.9995,nan,0.06299,0.09418,0.1146,0.07597,0.2035,0.3782,0.0007181,5.7-34.2,113.0-677.9
8.4e-15 SLC night <18.5 m,8.4e-15,14000,6,9.293,0.6457,4.425,35.01,70.72,28.75,1.516,1.712,0.9993,nan,0.06299,0.09245,0.1125,0.07458,0.2035,0.3151,0.0007181,5.7-34.2,113.0-677.9
8.4e-15 SLC night <18.5 m,8.4e-15,14000,7,9.293,0.7533,4.425,35.01,70.72,28.75,1.516,1.712,0.999,nan,0.06299,0.09245,0.1125,0.07458,0.2035,0.2701,0.0007181,5.7-34.2,113.0-677.9
1e-14 moderate,1e-14,2200,5,25.41,0.1968,12.1,13.88,2.83,1.15,0.951,3.581,0.9961,nan,0.02724,0.04073,0.04956,0.03286,0.07442,0.3782,0.01249,14.4-86.2,41.3-248.0
1e-14 moderate,1e-14,2200,6,25.41,0.2362,12.1,13.88,2.83,1.15,0.951,3.581,0.994,nan,0.02724,0.03999,0.04865,0.03226,0.07442,0.3151,0.01249,14.4-86.2,41.3-248.0
1e-14 moderate,1e-14,2200,7,25.41,0.2755,12.1,13.88,2.83,1.15,0.951,3.581,0.9915,nan,0.02724,0.03999,0.04865,0.03226,0.07442,0.2701,0.01249,14.4-86.2,41.3-248.0
1e-14 moderate,1e-14,3000,5,21.09,0.2371,10.04,16.21,4.997,2.031,1.316,3.056,0.9973,nan,0.03181,0.04757,0.05787,0.03837,0.08964,0.3782,0.007607,12.3-73.9,49.8-298.7
1e-14 moderate,1e-14,3000,6,21.09,0.2845,10.04,16.21,4.997,2.031,1.316,3.056,0.9958,nan,0.03181,0.0467,0.05681,0.03767,0.08964,0.3151,0.007607,12.3-73.9,49.8-298.7
1e-14 moderate,1e-14,3000,7,21.09,0.3319,10.04,16.21,4.997,2.031,1.316,3.056,0.994,nan,0.03181,0.0467,0.05681,0.03767,0.08964,0.2701,0.007607,12.3-73.9,49.8-298.7
1e-14 moderate,1e-14,5000,5,15.52,0.3221,7.393,20.92,12.75,5.182,1.669,2.414,0.9985,nan,0.04107,0.06141,0.07471,0.04954,0.1218,0.3782,0.003359,9.5-57.2,67.6-405.8
1e-14 moderate,1e-14,5000,6,15.52,0.3865,7.393,20.92,12.75,5.182,1.669,2.414,0.9977,nan,0.04107,0.06028,0.07334,0.04863,0.1218,0.3151,0.003359,9.5-57.2,67.6-405.8
1e-14 moderate,1e-14,5000,7,15.52,0.4509,7.393,20.92,12.75,5.182,1.669,2.414,0.9967,nan,0.04107,0.06028,0.07334,0.04863,0.1218,0.2701,0.003359,9.5-57.2,67.6-405.8
1e-14 moderate,1e-14,10000,5,10.24,0.4882,4.877,29.59,45.43,18.47,1.593,1.85,0.9993,nan,0.05808,0.08684,0.1057,0.07005,0.1846,0.3782,0.001108,6.7-40.5,102.5-615.1
1e-14 moderate,1e-14,10000,6,10.24,0.5858,4.877,29.59,45.43,18.47,1.593,1.85,0.999,nan,0.05808,0.08525,0.1037,0.06877,0.1846,0.3151,0.001108,6.7-40.5,102.5-615.1
1e-14 moderate,1e-14,10000,7,10.24,0.6834,4.877,29.59,45.43,18.47,1.593,1.85,0.9985,nan,0.05808,0.08525,0.1037,0.06877,0.1846,0.2701,0.001108,6.7-40.5,102.5-615.1
1e-14 moderate,1e-14,14000,5,8.37,0.5974,3.986,35.01,84.19,34.22,1.486,1.664,0.9995,nan,0.06872,0.1028,0.125,0.08289,0.2259,0.3782,0.0006468,5.7-34.2,125.4-752.7
1e-14 moderate,1e-14,14000,6,8.37,0.7169,3.986,35.01,84.19,34.22,1.486,1.664,0.9993,nan,0.06872,0.1009,0.1227,0.08137,0.2259,0.3151,0.0006468,5.7-34.2,125.4-752.7
1e-14 moderate,1e-14,14000,7,8.37,0.8363,3.986,35.01,84.19,34.22,1.486,1.664,0.999,nan,0.06872,0.1009,0.1227,0.08137,0.2259,0.2701,0.0006468,5.7-34.2,125.4-752.7
1e-13 strong (upper bound),1e-13,2200,5,6.382,0.7835,3.039,13.88,28.3,11.5,1.662,2.028,0.9961,nan,0.08615,0.1288,0.1567,0.1039,0.2963,0.3782,0.003138,14.4-86.2,164.5-987.2
1e-13 strong (upper bound),1e-13,2200,6,6.382,0.9402,3.039,13.88,28.3,11.5,1.662,2.028,0.994,nan,0.08615,0.1265,0.1538,0.102,0.2963,0.3151,0.003138,14.4-86.2,164.5-987.2
1e-13 strong (upper bound),1e-13,2200,7,6.382,1.097,3.039,13.88,28.3,11.5,1.662,2.028,0.9915,nan,0.08615,0.1265,0.1538,0.102,0.2963,0.2701,0.003138,14.4-86.2,164.5-987.2
1e-13 strong (upper bound),1e-13,3000,5,5.298,0.9437,2.523,16.21,49.97,20.31,1.577,1.819,0.9973,nan,0.1006,0.1504,0.183,0.1213,0.3569,0.3782,0.001911,12.3-73.9,198.2-1189.1
1e-13 strong (upper bound),1e-13,3000,6,5.298,1.132,2.523,16.21,49.97,20.31,1.577,1.819,0.9958,nan,0.1006,0.1477,0.1797,0.1191,0.3569,0.3151,0.001911,12.3-73.9,198.2-1189.1
1e-13 strong (upper bound),1e-13,3000,7,5.298,1.321,2.523,16.21,49.97,20.31,1.577,1.819,0.994,nan,0.1006,0.1477,0.1797,0.1191,0.3569,0.2701,0.001911,12.3-73.9,198.2-1189.1
1e-13 strong (upper bound),1e-13,5000,5,3.9,1.282,1.857,20.92,127.5,51.82,1.417,1.563,0.9985,nan,0.1299,0.1942,0.2363,0.1566,0.4849,0.3782,0.0008438,9.5-57.2,269.3-1615.6
1e-13 strong (upper bound),1e-13,5000,6,3.9,1.539,1.857,20.92,127.5,51.82,1.417,1.563,0.9977,nan,0.1299,0.1906,0.2319,0.1538,0.4849,0.3151,0.0008438,9.5-57.2,269.3-1615.6
1e-13 strong (upper bound),1e-13,5000,7,3.9,1.795,1.857,20.92,127.5,51.82,1.417,1.563,0.9967,nan,0.1299,0.1906,0.2319,0.1538,0.4849,0.2701,0.0008438,9.5-57.2,269.3-1615.6
1e-13 strong (upper bound),1e-13,10000,5,2.573,1.943,1.225,29.59,454.3,184.7,1.253,1.339,0.9993,nan,0.1837,0.2746,0.3341,0.2215,0.7349,0.3782,0.0002783,6.7-40.5,408.1-2448.7
1e-13 strong (upper bound),1e-13,10000,6,2.573,2.332,1.225,29.59,454.3,184.7,1.253,1.339,0.999,nan,0.1837,0.2696,0.328,0.2175,0.7349,0.3151,0.0002783,6.7-40.5,408.1-2448.7
1e-13 strong (upper bound),1e-13,10000,7,2.573,2.721,1.225,29.59,454.3,184.7,1.253,1.339,0.9985,nan,0.1837,0.2696,0.328,0.2175,0.7349,0.2701,0.0002783,6.7-40.5,408.1-2448.7
1e-13 strong (upper bound),1e-13,14000,5,2.102,2.378,1.001,35.01,841.9,342.2,1.197,1.265,0.9995,nan,0.2173,0.3249,0.3953,0.2621,0.8993,0.3782,0.0001625,5.7-34.2,499.4-2996.5
1e-13 strong (upper bound),1e-13,14000,6,2.102,2.854,1.001,35.01,841.9,342.2,1.197,1.265,0.9993,nan,0.2173,0.319,0.3881,0.2573,0.8993,0.3151,0.0001625,5.7-34.2,499.4-2996.5
1e-13 strong (upper bound),1e-13,14000,7,2.102,3.329,1.001,35.01,841.9,342.2,1.197,1.265,0.999,nan,0.2173,0.319,0.3881,0.2573,0.8993,0.2701,0.0001625,5.7-34.2,499.4-2996.5
