theta_arcmin,THIBOS_ONLY,THIBOS_PLUS_ARIAS,CIE_RAW
1.176352929273992203e+02,7.703896281974477456e-02,3.389530876780812552e+00,3.099717384221792660e+00
1.211082129001371186e+02,7.179212181468734577e-02,3.140347193011503890e+00,2.870816843384453421e+00
1.246836630985997516e+02,6.236794179643995878e-02,2.888957143869479438e+00,2.659369106014338069e+00
1.283646704992995922e+02,5.955023155978109162e-02,2.698930647849507647e+00,2.464010821130771856e+00
1.321543514434875704e+02,5.528903112530249991e-02,2.477005701307217755e+00,2.283487046906123474e+00
1.360559142754479467e+02,4.510179036437452632e-02,2.300036498156777576e+00,2.116642524835827377e+00
1.400726620586828517e+02,4.611258104906615363e-02,2.127545444269309360e+00,1.962413661373789031e+00
1.442079953722862058e+02,3.794447680737449841e-02,1.979865584834593850e+00,1.819821159516856968e+00
1.484654151898745909e+02,3.882328259702695628e-02,1.843830914771394713e+00,1.687963247488626140e+00
1.528485258435111689e+02,3.403532925776805995e-02,1.714027781400494499e+00,1.566009455963746078e+00
1.573610380751344167e+02,3.232477842128430451e-02,1.571151480587716698e+00,1.453194899218861691e+00
1.620067721780722820e+02,2.858030698168329345e-02,1.458697999120062816e+00,1.348815019223087441e+00
1.667896612313028299e+02,2.638844156837324290e-02,1.348876322076457024e+00,1.252220755014255227e+00
1.717137544291994118e+02,2.360664207712752372e-02,1.253687624969342052e+00,1.162814102771090097e+00
1.767832205095790812e+02,2.125278596931913164e-02,1.159153806466784342e+00,1.080044034807062348e+00
1.820023512829563970e+02,2.039330135858007445e-02,1.075062177925977025e+00,1.003402748299051739e+00
1.873755652659907014e+02,1.707036553005297427e-02,1.000261967044457911e+00,9.324222169413327599e-01
1.929074114222027561e+02,1.861527074300889720e-02,9.244599393448135194e-01,8.666710208997135956e-01
1.986025730131277669e+02,1.657411373257818010e-02,8.658064224436099465e-01,8.057514324474210898e-01
2.044658715631652228e+02,1.406602865977141757e-02,7.889873391957605842e-01,7.492967365078564423e-01
2.105022709414812709e+02,1.352306005240700923e-02,7.368751963946508221e-01,6.969687670228503773e-01
2.167168815644219535e+02,1.167858267035040178e-02,6.840246946151742335e-01,6.484556416205915497e-01
2.231149647219915266e+02,1.170495520907510571e-02,6.320749756785947193e-01,6.034696784862791930e-01
2.297019370320612097e+02,1.013034280056268437e-02,5.867453369027352261e-01,5.617454806508461740e-01
2.364833750260785905e+02,9.708222357538473513e-03,5.414551732438177556e-01,5.230381741184505495e-01
2.434650198701595798e+02,8.342321595005572354e-03,5.014208043596146691e-01,4.871217873604100079e-01
2.506527822255603724e+02,8.468353007540190339e-03,4.680597156088767696e-01,4.537877607198950725e-01
2.580527472526438260e+02,6.929097393404449155e-03,4.322915337073867104e-01,4.228435752053528729e-01
2.656711797625768554e+02,7.036152844577221038e-03,4.016502929314898496e-01,3.941114910080397160e-01
2.735145295211202097e+02,6.280858693222609798e-03,3.704376164445282171e-01,3.674273868664345022e-01
2.815894367090011770e+02,5.404308574186728574e-03,3.427874334253935840e-01,3.426396921233810233e-01
2.899027375434901614e+02,5.482749968058899838e-03,3.186255816026778986e-01,3.196084039858101966e-01
2.984614700659445816e+02,4.933951747107570042e-03,2.936938876774207174e-01,2.982041831066387649e-01
3.072728801002141950e+02,4.478346772479689826e-03,2.728644090494018459e-01,2.783075211684058470e-01
3.163444273869569088e+02,3.930404787855887490e-03,2.532502884814850641e-01,2.598079746623656594e-01
3.256837918990556773e+02,3.704311623202249850e-03,2.342890978428386062e-01,2.426034595289593698e-01
3.352988803434845408e+02,3.497012208279018028e-03,2.177693540805423766e-01,2.265996017591780376e-01
3.451978328551275581e+02,3.472406623990776080e-03,2.019806129716586185e-01,2.117091394545227989e-01
3.553890298882178058e+02,3.026964151503158153e-03,1.868498018576629227e-01,1.978513722089185467e-01
3.658810993112307415e+02,2.834866814557212168e-03,1.740657850743920210e-01,1.849516540117434049e-01
3.766829237112388000e+02,2.676214862431490048e-03,1.604798314782169277e-01,1.729409261795097075e-01
3.878036479139105381e+02,2.433940138377993414e-03,1.488311195559877675e-01,1.617552871069393439e-01
3.992526867255199932e+02,2.370946221301315458e-03,1.378580446602174492e-01,1.513355958882657282e-01
