theta_arcmin,psf_sr-1,s_deg2_sr-1,encircled_energy
1.000000000000000056e-01,3.425610234766845126e+06,9.515583985463461403e+00,9.705010290683883240e-03
1.022042723892966909e-01,3.407104875517201144e+06,9.886011303992658483e+00,1.010979033125958618e-02
1.044571329462555542e-01,3.387967196009633131e+06,1.026863929832707711e+01,1.053028237984153688e-02
1.067596526864408035e-01,3.368183591597287916e+06,1.066369118323272325e+01,1.096700027343070795e-02
1.091129262335170658e-01,3.347740797048761975e+06,1.107137930908564449e+01,1.142046694084427466e-02
1.115180723396361623e-01,3.326625960584355053e+06,1.149190372940262250e+01,1.189121392246118673e-02
1.139762344172946806e-01,3.304826774022134487e+06,1.192545090089161874e+01,1.237978082824662748e-02
1.164885810829151824e-01,3.282331462369796354e+06,1.237219183939932066e+01,1.288671473181241672e-02
1.190563067124093821e-01,3.259128912047904916e+06,1.283228067638301084e+01,1.341256949803964170e-02
1.216806320089874049e-01,3.235208754334894940e+06,1.330585302228364597e+01,1.395790504209489490e-02
1.243628045834832413e-01,3.210561394042683300e+06,1.379302404901300960e+01,1.452328651826529510e-02
1.271040995474719826e-01,3.185178164120026398e+06,1.429388703604445254e+01,1.510928343701642071e-02
1.299058201194610851e-01,3.159051372436454054e+06,1.480851145929465318e+01,1.571646870921102057e-02
1.327692982444438063e-01,3.132174368872825988e+06,1.533694111506557434e+01,1.634541761695669851e-02
1.356958952271090646e-01,3.104541711018837988e+06,1.587919271533262666e+01,1.699670671099099556e-02
1.386870023790091888e-01,3.076149180686712265e+06,1.643525379788156471e+01,1.767091263506134075e-02
1.417440416799929659e-01,3.046993901905034669e+06,1.700508113438047175e+01,1.836861087830478356e-02
1.448684664542182476e-01,3.017074458603202365e+06,1.758859922370716333e+01,1.909037445771011310e-02
1.480617620610661100e-01,2.986390941064973362e+06,1.818569846669261025e+01,1.983677253289408207e-02
1.513254466012843857e-01,2.954945067487299442e+06,1.879623385018073378e+01,2.060836895674194799e-02
1.546610716386964124e-01,2.922740262445746455e+06,1.942002352265848231e+01,2.140572076598182966e-02
1.580702229378185830e-01,2.889781731232569087e+06,2.005684748361372982e+01,2.222937661692436437e-02
1.615545212177366408e-01,2.856076556829583831e+06,2.070644660598241060e+01,2.307987517221440216e-02
1.651156229225996808e-01,2.821633759232054465e+06,2.136852162370351493e+01,2.395774344594065255e-02
1.687552210090977889e-01,2.786464372714838944e+06,2.204273248394157392e+01,2.486349511457440140e-02
1.724750457512979618e-01,2.750581499587696046e+06,2.272869780839498688e+01,2.579762880328685670e-02
1.762768655632206694e-01,2.714000373440034688e+06,2.342599474147323591e+01,2.676062635715871843e-02
1.801624878395484131e-01,2.676738401793448254e+06,2.413415899125900310e+01,2.775295110873108803e-02
1.841337598148655996e-01,2.638815178991622757e+06,2.485268497971311774e+01,2.877504615340767749e-02
1.881925694418385697e-01,2.600252554079025518e+06,2.558102690814116542e+01,2.982733264585133923e-02
1.923408462887530312e-01,2.561074593443104532e+06,2.631859931455925405e+01,3.091020813075031834e-02
1.965805624568356114e-01,2.521307591376467608e+06,2.706477851212620322e+01,3.202404492297096505e-02
2.009137335177957895e-01,2.480980119428302161e+06,2.781890501290562057e+01,3.316918855139140004e-02
2.053424194720337159e-01,2.440122863744523842e+06,2.858028420690228444e+01,3.434595628271888690e-02
2.098687257279695517e-01,2.398768699941189960e+06,2.934819011860877325e+01,3.555463574108016361e-02
2.144948041029600128e-01,2.356952620883277152e+06,3.012186823537681235e+01,3.679548363965034347e-02
2.192228538462775989e-01,2.314711551364782732e+06,3.090053739764064034e+01,3.806872464058798367e-02
2.240551226846393407e-01,2.272084414007098880e+06,3.168339541690811956e+01,3.937455035999103820e-02
2.289939078907816949e-01,2.229111921441631392e+06,3.246962186614631918e+01,4.071311853302437417e-02
2.340415573755897094e-01,2.185836429445353337e+06,3.325838203177941921e+01,4.208455235545118661e-02
2.392004708042998196e-01,2.142301958812647033e+06,3.404883401827009948e+01,4.348894001550950711e-02
2.444731007373067144e-01,2.098553821112246253e+06,3.484013048688811409e+01,4.492633443040214974e-02
2.498619537961166703e-01,2.054638587030727183e+06,3.563142592097707961e+01,4.639675320010600013e-02
2.553695918550017430e-01,2.010604011997468770e+06,3.642188416300027853e+01,4.790017878855580558e-02
2.609986332589211977e-01,1.966498513074117247e+06,3.721067839899198049e+01,4.943655894332265460e-02
2.667517540682893262e-01,1.922371318303548964e+06,3.799700317776922276e+01,5.100580736083780431e-02
2.726316893311812595e-01,1.878272135872821556e+06,3.878007853924645332e+01,5.260780460214100479e-02
2.786412343835816818e-01,1.834250774852195056e+06,3.955915271317665116e+01,5.424239926543239498e-02
2.847832461782943692e-01,1.790357248892928939e+06,4.033351488722577471e+01,5.590940941441036038e-02
2.910606446431453498e-01,1.746641267515656305e+06,4.110249545005863325e+01,5.760862426203151171e-02
2.974764140691231740e-01,1.703152078723711427e+06,4.186547311411458594e+01,5.933980610929863453e-02
3.040336045291187617e-01,1.659938489962249063e+06,4.262188680146220321e+01,6.110269252936025020e-02
3.107353333279376795e-01,1.617048187299965182e+06,4.337123005705719692e+01,6.289699879110638436e-02
3.175847864842744617e-01,1.574527890535537153e+06,4.411306531907458606e+01,6.472242051369553328e-02
3.245852202453541890e-01,1.532423161326945759e+06,4.484703008050408357e+01,6.657863653464539400e-02
3.317399626349604169e-01,1.490777789886925835e+06,4.557282973711772200e+01,6.846531198148907149e-02
3.390524150355860300e-01,1.449634117462643655e+06,4.629025628181364738e+01,7.038210152754946491e-02
3.465260538054590889e-01,1.409032586535428418e+06,4.699918447422665224e+01,7.232865281204267638e-02
3.541644319312122202e-01,1.369011477649352048e+06,4.769957129517803907e+01,7.430461000793842086e-02
3.619711807169814222e-01,1.329607150810589083e+06,4.839147169666299675e+01,7.630961751158199524e-02
3.699500115107371423e-01,1.290853459985881345e+06,4.907502536530972748e+01,7.834332373169186625e-02
3.781047174686682499e-01,1.252781859108063392e+06,4.975046531449081044e+01,8.040538495751220482e-02
3.864391753584583977e-01,1.215421557511596940e+06,5.041812928789842374e+01,8.249546927436969546e-02
3.949573474023107544e-01,1.178798789090567036e+06,5.107843414896595391e+01,8.461326050770609508e-02
4.036632831605985183e-01,1.142937377593245823e+06,5.173190022951418854e+01,8.675846216806894218e-02
4.125611214570361063e-01,1.107858523642605171e+06,5.237914445617742132e+01,8.893080136718112261e-02
4.216550923462863976e-01,1.073580467276516603e+06,5.302086393435371292e+01,9.113003268950267688e-02
4.309495191249390622e-01,1.040118996170117403e+06,5.365785756254909700e+01,9.335594198496778573e-02
4.404488203868169860e-01,1.007487087805493735e+06,5.429100616727966866e+01,9.560835006315582252e-02
4.501575121235866228e-01,9.756949676209903555e+05,5.492126959944459941e+01,9.788711627022513018e-02
4.600802098716717525e-01,9.447505023441185476e+05,5.554970234039304700e+01,1.001921419186631024e-01
4.702216309064913280e-01,9.146587172276756028e+05,5.617741922390499099e+01,1.025233735524526263e-01
4.805865964850637440e-01,8.854222540461906465e+05,5.680561171131638076e+01,1.048808060348040277e-01
4.911800341380447299e-01,8.570415485946541885e+05,5.743555020851140824e+01,1.072644854269335923e-01
5.020069800122877179e-01,8.295143913228765596e+05,5.806854385890873260e+01,1.096745116554059540e-01
5.130725812650408502e-01,8.028366327176648192e+05,5.870597332412042135e+01,1.121110409442605954e-01
5.243820985109179933e-01,7.770020346018114360e+05,5.934926838842759622e+01,1.145742879990128277e-01
5.359409083228087178e-01,7.520022294335826300e+05,5.999988849749104247e+01,1.170645279358201868e-01
5.477545057879142920e-01,7.278272602692296496e+05,6.065934750663853947e+01,1.195820979390275068e-01
5.598285071201258845e-01,7.044653147286437452e+05,6.132917648256297127e+01,1.221273986367246017e-01
5.721686523299867044e-01,6.819030031060366891e+05,6.201092687408036142e+01,1.247008951953462869e-01
5.847808079535076198e-01,6.601257282652828144e+05,6.270618520264524420e+01,1.273031181120418964e-01
5.976709698411329930e-01,6.391173144937838661e+05,6.341651995368749084e+01,1.299346637094268286e-01
6.108452660081828967e-01,6.188605845752159366e+05,6.414351386002093136e+01,1.325961943255782316e-01
6.243099595481271802e-01,5.993374252252440201e+05,6.488875229776635933e+01,1.352884381859494611e-01
6.380714516100759459e-01,5.805286061840411276e+05,6.565378251143638977e+01,1.380121889674875424e-01
6.521362844419015259e-01,5.624143313575563952e+05,6.644015049359336444e+01,1.407683050406952352e-01
6.665111445004396895e-01,5.449741069024874596e+05,6.724936665427587457e+01,1.435577083865506309e-01
6.812028656302483443e-01,5.281868337026659865e+05,6.808289320072574924e+01,1.463813831983128144e-01
6.962184323124337437e-01,5.120311772984755808e+05,6.894216840974902993e+01,1.492403741507294657e-01
7.115649829850910768e-01,4.964853462152315769e+05,6.982855733172395674e+01,1.521357843423851719e-01
7.272498134369351774e-01,4.815273849712174851e+05,7.074336719056488221e+01,1.550687729165704243e-01
7.432803802757372846e-01,4.671353835129680228e+05,7.168785769991602308e+01,1.580405523432358017e-01
7.596643044732148686e-01,4.532871913958552177e+05,7.266317771623683086e+01,1.610523853787654003e-01
7.764093749880607298e-01,4.399608833641773672e+05,7.367041326997556894e+01,1.641055816967614267e-01
7.935235524688335484e-01,4.271346983687322936e+05,7.471056058682680145e+01,1.672014941816477307e-01
8.110149730384701439e-01,4.147869826923660003e+05,7.578449521232984409e+01,1.703415149066451473e-01
8.288919521622192255e-01,4.028965045099980780e+05,7.689300698446339766e+01,1.735270707781629285e-01
8.471629886008333887e-01,3.914423146491794032e+05,7.803675782914172032e+01,1.767596188561906811e-01
8.658367684509022943e-01,3.804038462201664806e+05,7.921628066139244595e+01,1.800406413653565518e-01
8.849221692742443857e-01,3.697610964163805475e+05,8.043199959715133218e+01,1.833716403803575257e-01
9.044282643183219061e-01,3.594944356283295201e+05,8.168417440597077928e+01,1.867541322100749468e-01
9.243643268296860560e-01,3.495848273052909062e+05,8.297293027412378308e+01,1.901896414839225891e-01
9.447398344625010935e-01,3.400138662557771895e+05,8.429825464851867878e+01,1.936796949400138024e-01
9.655644737842452585e-01,3.307636287536976160e+05,8.565994745950409595e+01,1.972258149430233254e-01
9.868481448807293610e-01,3.218169110363348736e+05,8.705766592939141901e+01,2.008295127346620135e-01
1.008600966062622062e+00,3.131571438108345028e+05,8.849089390259949539e+01,2.044922814304669101e-01
1.030833278675720166e+00,3.047683733645002358e+05,8.995892508656955044e+01,2.082155887963751117e-01
1.053555652017250877e+00,2.966354029538535397e+05,9.146089438395416948e+01,2.120008698092452348e-01
1.076778888360542030e+00,2.887436679896494607e+05,9.299573526291875680e+01,2.158495190326130686e-01
1.100514028090449292e+00,2.810793046662017587e+05,9.456219298955060992e+01,2.197628828443399518e-01
1.124772354951983910e+00,2.736292160751435440e+05,9.615884375531055639e+01,2.237422515259616107e-01
1.149565401414632815e+00,2.663809176223867107e+05,9.778404047156246293e+01,2.277888512670061816e-01
1.174904954154923242e+00,2.593226807298873318e+05,9.943596019402890818e+01,2.319038361121781300e-01
1.200803059659839356e+00,2.524434924907162203e+05,1.011125936758765249e+02,2.360882798860370613e-01
1.227272029953750954e+00,2.457329750908071583e+05,1.028117167541250438e+02,2.403431681523875429e-01
1.254324448451582752e+00,2.391814912135871127e+05,1.045309369424414996e+02,2.446693902410599919e-01
1.281973175940998910e+00,2.327800585125386715e+05,1.062676675462246578e+02,2.490677313924361258e-01
1.310231356696456517e+00,2.265203390982305864e+05,1.080191312178328644e+02,2.535388650816243206e-01
1.339112424728023942e+00,2.203946914137708081e+05,1.097823967482681269e+02,2.580833455580879288e-01
1.368630110167945224e+00,2.143960607864912599e+05,1.115543426694632956e+02,2.627016006666869630e-01
1.398798445797978296e+00,2.085180223393002234e+05,1.133316935701791266e+02,2.673939250088339104e-01
1.429631773720614563e+00,2.027547836877448135e+05,1.151110439126064762e+02,2.721604734832937522e-01
1.461144752177350625e+00,1.971010691508686868e+05,1.168888173273710152e+02,2.770012552824785979e-01
1.493352362517253562e+00,1.915521987420350488e+05,1.186613342611453277e+02,2.819161283918345529e-01
1.526269916319131337e+00,1.861040241293523868e+05,1.204248049117247632e+02,2.869047946387829340e-01
1.559913062670695849e+00,1.807528739457651100e+05,1.221753242176478977e+02,2.919667953611249644e-01
1.594297795608178303e+00,1.754955944047864759e+05,1.239089306505198067e+02,2.971015077310163455e-01
1.629440461719935396e+00,1.703294643766245863e+05,1.256215861501285076e+02,3.023081417825224104e-01
1.665357767917656551e+00,1.652521842627017468e+05,1.273092038044457865e+02,3.075857381983698735e-01
1.702066789378873235e+00,1.602618872086143820e+05,1.289676978711119091e+02,3.129331668702111102e-01
1.739584977664540455e+00,1.553570336723664077e+05,1.305929453339372230e+02,3.183491262855581150e-01
1.777930169015553119e+00,1.505364447356502933e+05,1.321808538436812341e+02,3.238321437608621123e-01
1.817120592832139003e+00,1.457992692799028882e+05,1.337273833622878669e+02,3.293805765272800334e-01
1.857174880340162426e+00,1.411448981251487567e+05,1.352285170863388544e+02,3.349926137026274509e-01
1.898112073448454451e+00,1.365730047492153535e+05,1.366803451889144299e+02,3.406662791394031720e-01
1.939951633801385800e+00,1.320834767732927576e+05,1.380790518320393119e+02,3.463994351395366933e-01
1.982713452030979928e+00,1.276763766647184093e+05,1.394209234111446278e+02,3.521897870476250469e-01
2.026417857212970297e+00,1.233519596758966509e+05,1.407024178497503328e+02,3.580348886777779405e-01
2.071085626531293578e+00,1.191105899596006202e+05,1.419201247535117716e+02,3.639321485517583166e-01
2.116737995155615337e+00,1.149527412999214721e+05,1.430708121504043220e+02,3.698788369342095872e-01
2.163396666336582896e+00,1.108789977888056746e+05,1.441514792322880396e+02,3.758720935826430076e-01
2.211083821723605514e+00,1.068899545950181928e+05,1.451592800756190798e+02,3.819089361937895166e-01
2.259822131910065313e+00,1.029862654821445176e+05,1.460916265580245863e+02,3.879862694830996106e-01
2.309634767210974715e+00,9.916859913070969924e+04,1.469461778852471809e+02,3.941008948112973420e-01
2.360545408678203394e+00,9.543758384621074947e+04,1.477208008655021558e+02,4.002495203308699678e-01
2.412578259358507893e+00,9.179384490452874161e+04,1.484136617165571010e+02,4.064287715367275178e-01
