0,-8,-1,0
0,-7.9,-1,0
0,-7.8,-1,0
0,-7.7,-1,0
0,-7.6,-1,0
0,-7.5,-1,0
0,-7.4,-1,0
0,-7.3,-1,0
0,-7.2,-1,0
0,-7.1,-1,0
0,-7,-1,0
0,-6.9,-1,0
0,-6.8,-1,0
0,-6.7,-1,0
0,-6.6,-1,0
0,-6.5,-1,0
0,-6.4,-1,0
0,-6.3,-1,0
0,-6.2,-1,0
0,-6.1,-1,0
0,-6,-1,0
0,-5.9,-1,0
0,-5.8,-1,0
0,-5.7,-1,0
0,-5.6,-1,0
0,-5.5,-1,0
0,-5.4,-1,0
0,-5.3,-1,0
0,-5.2,-1,0
0,-5.1,-1,0
0,-5,-1,0
0,-4.9,-1,0
0,-4.8,-1,0
0,-4.7,-1,0
0,-4.6,-1,0
0,-4.5,-0.588253,0.020444
0,-4.4,-0.19895,0.0641411
0,-4.3,0.0886867,0.107803
0,-4.2,0.275837,0.142324
0,-4.1,0.421807,0.173491
0,-4,0.535227,0.200715
0,-3.9,0.621756,0.223477
0,-3.8,0.694811,0.244167
0,-3.7,0.822767,0.283983
0,-3.6,0.990971,0.344161
0,-3.5,1.16063,0.415371
0,-3.4,1.32082,0.494004
0,-3.3,1.3954,0.534911
0,-3.2,1.46201,0.57399
0,-3.1,1.51896,0.609431
0,-3,1.57396,0.645542
0,-2.9,1.61696,0.675119
0,-2.8,1.67455,0.716699
0,-2.7,1.72242,0.753035
0,-2.6,1.75691,0.780276
0,-2.5,1.79016,0.807397
0,-2.4,1.82979,0.840869
0,-2.3,1.86677,0.873272
0,-2.2,1.90187,0.905108
0,-2.1,1.92885,0.930312
0,-2,1.94621,0.946883
0,-1.9,1.94621,0.946883
0,-1.8,1.94621,0.946883
0,-1.7,1.94621,0.946883
0,-1.6,1.95823,0.958516
0,-1.5,1.97445,0.974428
0,-1.4,1.97445,0.974428
0,-1.3,1.97445,0.974428
0,-1.2,1.97445,0.974428
0,-1.1,1.97445,0.974428
0,-1,1.97445,0.974428
0,-0.9,1.97445,0.974428
0,-0.8,1.97445,0.974428
0,-0.7,1.97445,0.974428
0,-0.6,1.97445,0.974428
0,-0.5,1.97445,0.974428
0,-0.4,1.97445,0.974428
0,-0.3,1.97445,0.974428
0,-0.2,2,1
0,-0.0999999,2,1
0,1.19209e-07,2,1
0,0.1,2,1
0,0.2,2,1
0,0.3,2,1
0,0.4,2,1
0,0.5,2,1
0,0.6,2,1
0,0.7,2,1
0,0.8,2,1
0,0.9,2,1
0,1,2,1
0,1.1,2,1
0,1.2,2,1
0,1.3,2,1
0,1.4,2,1
0,1.5,2,1
0,1.6,2,1
0,1.7,2,1
0,1.8,2,1
0,1.9,2,1
0,2,2,1
0,2.1,2,1
0,2.2,2,1
0,2.3,2,1
0,2.4,2,1
0,2.5,2,1
0,2.6,2,1
0,2.7,2,1
0,2.8,2,1
0,2.9,2,1
0,3,2,1
0,3.1,2,1
0,3.2,2,1
0,3.3,2,1
0,3.4,2,1
0,3.5,2,1
0,3.6,2,1
0,3.7,2,1
0,3.8,2,1
0,3.9,2,1
0,4,2,1
0,4.1,2,1
0,4.2,2,1
0,4.3,2,1
0,4.4,2,1
0,4.5,2,1
