variant,k,Ldmax,peak_display_cdm2,background_cdm2,core_fwhm_equiv_diam_arcmin,white_core_px,white_core_arcmin2,displayed_energy_above_bg_cdm2_sr,halo_radius_2x_bg_arcmin,Vangorp_Lla_at_source,Vangorp_Lla_at_bar,Vangorp_Lla_far_sky
V0_none,100,100,101.2221875,1.3021240234375,3.212728845389062,12,8.10658660161381,6.854005934687128e-05,1.430998695245988,0.00037041024188511074,4.9489048251416534e-05,0.00039999998989515007
V0_none,100,200,202.444375,2.457763671875,3.212728845389062,12,8.10658660161381,0.00013716315461964856,1.430998695245988,0.00037041024188511074,4.9489048251416534e-05,0.00039999998989515007
V0_none,100,50,50.63929687500001,0.7105712890625,3.212728845389062,12,8.10658660161381,3.4269128140525805e-05,1.430998695245988,0.00037041024188511074,4.9489048251416534e-05,0.00039999998989515007
V0_none,10,100,101.3084375,1.30364990234375,3.212728845389062,12,8.10658660161381,6.847995585035786e-05,1.430998695245988,0.0003584075893741101,4.933982199872844e-05,0.00039999998989515007
V0_none,10,200,202.616875,2.4608154296875,3.212728845389062,12,8.10658660161381,0.0001371349508743008,1.430998695245988,0.0003584075893741101,4.933982199872844e-05,0.00039999998989515007
V0_none,10,50,50.65421875,0.71209716796875,3.212728845389062,12,8.10658660161381,3.4217971869695873e-05,1.430998695245988,0.0003584075893741101,4.933982199872844e-05,0.00039999998989515007
V0_none,1,100,100.82953124999999,1.30517578125,1.8548698637186507,4,2.70219553387127,2.9911935853579034e-05,1.430998695245988,0.0003477078571449965,4.920315041090362e-05,0.00039999998989515007
V0_none,1,200,202.444375,2.4608154296875,1.8548698637186507,4,2.70219553387127,5.657175613210046e-05,1.430998695245988,0.0003477078571449965,4.920315041090362e-05,0.00039999998989515007
V0_none,1,50,50.61109375,0.71209716796875,1.8548698637186507,4,2.70219553387127,1.639240264102055e-05,1.430998695245988,0.0003477078571449965,4.920315041090362e-05,0.00039999998989515007
V1_iset,100,100,101.36109375,1.2822875976562498,41.21610991887759,1363,920.7731281666353,0.01992719529808383,70.61417226693764,2.1252145767211914,0.13402517139911652,0.00039999998989515007
V1_iset,100,200,202.7221875,2.42724609375,37.84343662336703,1191,804.5787202101707,0.03356549116826105,70.61417226693764,2.1252145767211914,0.13402517139911652,0.00039999998989515007
V1_iset,100,50,50.663515624999995,0.6968383789062499,45.74614519325616,1657,1119.3844999061737,0.012270293040275472,70.61417226693764,2.1252145767211914,0.13402517139911652,0.00039999998989515007
V1_iset,10,100,101.36109375,1.2929687499999998,22.316327768928645,447,301.9703509101144,0.005197254807236469,32.377353407521774,0.21420027315616608,0.013885371387004852,0.00039999998989515007
V1_iset,10,200,202.65406249999998,2.445556640625,21.026404213657564,403,272.24620003753046,0.00901292459091383,32.377353407521774,0.21420027315616608,0.013885371387004852,0.00039999998989515007
V1_iset,10,50,50.659375,0.7044677734374999,24.11330822834246,507,342.50328391818346,0.0031000779185696424,37.84177081545367,0.21420027315616608,0.013885371387004852,0.00039999998989515007
V1_iset,1,100,101.32703124999999,1.299072265625,13.880575054174527,171,115.51885907299679,0.001735693346483108,14.845362906935664,0.022946778684854507,0.001775267068296671,0.00039999998989515007
V1_iset,1,200,202.65406249999998,2.4547119140625,13.278847402193719,155,104.71007693751172,0.0030632755177019636,14.845362906935664,0.022946778684854507,0.001775267068296671,0.00039999998989515007
V1_iset,1,50,50.663515624999995,0.70751953125,15.011845817294516,204,137.81197222743478,0.0010079703172173491,17.3508567462462,0.022946778684854507,0.001775267068296671,0.00039999998989515007
V2_hdrvdpmtf,100,100,101.32703124999999,1.59814453125,87.71004722685744,6488,4382.9611559392,0.07929444005623577,131.76871001259897,23.611122131347656,3.118459939956665,0.001711827702820301
V2_hdrvdpmtf,100,200,202.7221875,2.909423828125,80.23250262456925,5584,3772.264965284293,0.13506656966060404,112.74107950542592,23.611122131347656,3.118459939956665,0.001711827702820301
V2_hdrvdpmtf,100,50,50.663515624999995,0.9180908203125,97.30556081532386,7772,5250.3659223118775,0.04798326306637675,131.76871001259897,23.611122131347656,3.118459939956665,0.001711827702820301
V2_hdrvdpmtf,10,100,101.32703124999999,1.3341674804687498,52.88819166706901,2212,1494.3141302308122,0.03148867431754649,82.53192562143245,2.3619260787963867,0.31235411763191223,0.0005312245339155197
V2_hdrvdpmtf,10,200,202.59625,2.506591796875,48.26227384895498,1868,1261.925314317883,0.053003367241152066,82.53192562143245,2.3619260787963867,0.31235411763191223,0.0005312245339155197
V2_hdrvdpmtf,10,50,50.663515624999995,0.73345947265625,58.97786174198157,2684,1813.1732032276223,0.019332333902622185,96.46107187991336,2.3619260787963867,0.31235411763191223,0.0005312245339155197
V2_hdrvdpmtf,1,100,101.31562499999998,1.29754638671875,25.768675689429745,500,337.77444173390876,0.008072506789567675,44.228433387537024,0.23700304329395294,0.03173559531569481,0.0004131176392547786
V2_hdrvdpmtf,1,200,202.65406249999998,2.45166015625,23.462454130228224,424,286.4327265903546,0.013444218010026536,44.228433387537024,0.23700304329395294,0.03173559531569481,0.0004131176392547786
V2_hdrvdpmtf,1,50,50.663515624999995,0.70751953125,28.855003294788556,632,426.94689435166066,0.005013353783413509,51.69299104567678,0.23700304329395294,0.03173559531569481,0.0004131176392547786
V3_cie99,100,100,101.3084375,1.28533935546875,44.8633167925535,1708,1153.8374929630322,0.018890282087665616,60.41736318884403,2.5257203578948975,0.16125735640525818,0.0004066544061060995
V3_cie99,100,200,202.616875,2.4333496093749996,41.888859232248606,1528,1032.2386939388252,0.0328927445043913,51.69299104567678,2.5257203578948975,0.16125735640525818,0.0004066544061060995
V3_cie99,100,50,50.659375,0.6983642578124999,48.61740942486385,2000,1351.097766935635,0.011155042969240338,60.41736318884403,2.5257203578948975,0.16125735640525818,0.0004066544061060995
V3_cie99,10,100,101.3084375,1.29449462890625,25.092214423475884,540,364.79639707262146,0.005925332432422435,32.377353407521774,0.2540952265262604,0.016829924657940865,0.00040066539077088237
V3_cie99,10,200,202.65406249999998,2.4486083984375,23.315352654214777,468,316.1568774629386,0.010270822012215464,32.377353407521774,0.2540952265262604,0.016829924657940865,0.00040066539077088237
V3_cie99,10,50,50.663515624999995,0.7044677734374999,27.2609082322588,616,416.13811221617556,0.003510010078248154,32.377353407521774,0.2540952265262604,0.016829924657940865,0.00040066539077088237
V3_cie99,1,100,101.28781249999999,1.30059814453125,13.375656805900993,148,99.98123475323699,0.0017478316040025628,17.3508567462462,0.026768457144498825,0.0021837407257407904,0.0004000664921477437
V3_cie99,1,200,202.616875,2.4547119140625,12.442845314072022,120,81.0658660161381,0.003008088557707114,17.3508567462462,0.026768457144498825,0.0021837407257407904,0.0004000664921477437
V3_cie99,1,50,50.659375,0.70904541015625,14.838958909749206,180,121.59879902420715,0.0010425392183082325,20.27920985940381,0.026768457144498825,0.0021837407257407904,0.0004000664921477437
V4_spencer,100,100,101.36109375,1.7751464843749998,72.7194154185575,4404,2975.1172827922683,0.06305136291098264,112.74107950542592,14.229374885559082,2.1304214000701904,0.0029107581358402967
V4_spencer,100,200,202.65406249999998,3.1775378417968745,65.94577587020416,3744,2529.255019703509,0.10516815963812876,112.74107950542592,14.229374885559082,2.1304214000701904,0.0029107581358402967
V4_spencer,100,50,50.680546875,1.0401611328125,81.92983494617843,5388,3639.8573841246007,0.039152391903950715,131.76871001259897,14.229374885559082,2.1304214000701904,0.0029107581358402967
V4_spencer,10,100,101.32703124999999,1.3967285156249998,44.323239983899754,1500,1013.3233252017262,0.026255923665013295,82.53192562143245,1.4236876964569092,0.21347443759441376,0.0005983863375149667
V4_spencer,10,200,202.59625,2.6011962890625,39.91204133900635,1240,837.6806155000937,0.04326678446260439,82.53192562143245,1.4236876964569092,0.21347443759441376,0.0005983863375149667
V4_spencer,10,50,50.663515624999995,0.77618408203125,50.0471250907526,1852,1251.116532182398,0.01655597604334915,96.46107187991336,1.4236876964569092,0.21347443759441376,0.0005983863375149667
