t_rel_s,P1_global_dot_x,P1_global_dot_y,P1_global_leftchk_Ylin,P1_global_leftchk_sat,P1_global_leftchk_edge_rel,P1_global_gazering_R,P1_global_gazering_G,P1_global_gazering_B,P2_afterimages_dot_x,P2_afterimages_dot_y,P2_afterimages_leftchk_Ylin,P2_afterimages_leftchk_sat,P2_afterimages_leftchk_edge_rel,P2_afterimages_gazering_R,P2_afterimages_gazering_G,P2_afterimages_gazering_B,P3_lowlight_dot_x,P3_lowlight_dot_y,P3_lowlight_leftchk_Ylin,P3_lowlight_leftchk_sat,P3_lowlight_leftchk_edge_rel,P3_lowlight_gazering_R,P3_lowlight_gazering_G,P3_lowlight_gazering_B
5.200,164.2,170.8,0.009646,0.3877,0.15755,0.012617,0.009295,0.007148,164.2,170.8,0.011205,0.4269,0.15809,0.013260,0.008683,0.007366,164.2,170.8,0.009980,0.2737,0.11942,0.011956,0.007087,0.009161
5.233,163.8,170.8,0.009656,0.3872,0.15387,0.012699,0.009241,0.007183,163.8,170.8,0.011107,0.4235,0.15692,0.013211,0.008669,0.007372,163.8,170.8,0.009873,0.2730,0.12051,0.011930,0.007073,0.009143
5.267,163.2,170.8,0.009654,0.3884,0.16094,0.012557,0.009262,0.007092,163.2,170.8,0.011016,0.4226,0.15680,0.013122,0.008648,0.007297,163.2,170.8,0.009802,0.2710,0.12082,0.011811,0.007070,0.009052
5.300,163.8,170.2,0.009660,0.3877,0.15647,0.012596,0.009254,0.007123,163.8,170.2,0.010956,0.4204,0.16131,0.012968,0.008710,0.007234,163.8,170.2,0.009730,0.2704,0.12106,0.011839,0.007070,0.009074
5.333,164.2,170.2,0.009656,0.3888,0.16195,0.012527,0.009296,0.007080,164.2,170.2,0.010879,0.4201,0.16094,0.012967,0.008723,0.007237,164.2,170.2,0.009678,0.2729,0.12043,0.011820,0.007065,0.009094
5.367,164.8,170.2,0.009651,0.3881,0.15840,0.012623,0.009281,0.007170,164.8,170.2,0.010851,0.4191,0.16513,0.012948,0.008799,0.007223,164.8,170.2,0.009617,0.2729,0.12210,0.011906,0.007094,0.009144
5.400,165.2,170.2,0.009656,0.3888,0.16516,0.012597,0.009339,0.007126,165.2,170.2,0.010814,0.4177,0.16639,0.012934,0.008813,0.007228,165.2,170.2,0.009590,0.2739,0.12145,0.011924,0.007122,0.009174
5.433,165.2,169.2,0.009666,0.3885,0.16086,0.012513,0.009290,0.007099,165.2,169.2,0.010744,0.4184,0.16711,0.012752,0.008801,0.007128,165.2,169.2,0.009536,0.2742,0.12280,0.011819,0.007087,0.009136
5.467,165.8,168.8,0.009666,0.3896,0.16464,0.012399,0.009343,0.007028,165.8,168.8,0.010713,0.4181,0.16779,0.012642,0.008836,0.007086,165.8,168.8,0.009518,0.2743,0.12327,0.011874,0.007124,0.009168
5.500,166.2,168.8,0.009668,0.3882,0.16187,0.012501,0.009317,0.007113,166.2,168.8,0.010668,0.4170,0.16839,0.012676,0.008892,0.007138,165.8,168.8,0.009480,0.2742,0.12292,0.011891,0.007116,0.009166
5.533,166.8,169.2,0.009663,0.3894,0.16565,0.012479,0.009381,0.007113,166.8,169.2,0.010641,0.4157,0.17027,0.012757,0.008910,0.007194,166.2,168.8,0.009457,0.2705,0.12323,0.011778,0.007163,0.009115
5.567,166.8,168.8,0.009668,0.3888,0.16355,0.012519,0.009350,0.007135,166.8,168.8,0.010595,0.4156,0.16873,0.012693,0.008935,0.007174,166.8,169.2,0.009485,0.2603,0.13404,0.011812,0.007347,0.009122
5.600,167.2,168.2,0.009670,0.3899,0.16651,0.012369,0.009368,0.007045,167.2,168.2,0.010579,0.4159,0.17014,0.012630,0.008920,0.007140,166.8,168.8,0.009488,0.2595,0.13418,0.011780,0.007338,0.009101
5.633,167.8,167.8,0.009668,0.3885,0.16233,0.012448,0.009327,0.007103,167.8,167.8,0.010551,0.4163,0.17094,0.012556,0.008962,0.007084,167.2,168.2,0.009436,0.2618,0.13280,0.011734,0.007321,0.009092
5.667,167.8,167.8,0.009673,0.3903,0.16582,0.012328,0.009379,0.007030,167.8,167.8,0.010544,0.4150,0.16995,0.012539,0.008978,0.007099,167.8,167.8,0.009405,0.2614,0.13307,0.011733,0.007330,0.009080
5.700,168.2,167.2,0.009674,0.3907,0.16653,0.012294,0.009362,0.007001,168.2,167.2,0.010528,0.4156,0.17291,0.012425,0.008969,0.007011,167.8,167.8,0.009378,0.2639,0.13062,0.011804,0.007326,0.009157
5.733,168.2,166.8,0.009678,0.3909,0.16696,0.012229,0.009357,0.006955,168.2,166.8,0.010514,0.4157,0.17420,0.012349,0.008981,0.006931,168.2,167.2,0.009365,0.2611,0.13126,0.011754,0.007312,0.009138
5.767,168.2,166.8,0.009681,0.3894,0.16513,0.012308,0.009329,0.006997,168.2,166.8,0.010447,0.4151,0.17408,0.012327,0.008973,0.006934,168.2,166.8,0.009341,0.2622,0.12672,0.011698,0.007309,0.009069
5.800,168.2,166.8,0.009680,0.3904,0.16647,0.012234,0.009362,0.006954,168.2,166.8,0.010411,0.4140,0.17161,0.012370,0.008952,0.006966,168.2,166.8,0.009316,0.2620,0.12714,0.011667,0.007320,0.009082
5.833,168.2,165.8,0.009688,0.3899,0.16450,0.012195,0.009323,0.006909,168.2,165.8,0.010349,0.4156,0.16779,0.012224,0.008940,0.006874,168.2,165.8,0.009268,0.2649,0.13010,0.011601,0.007283,0.009052
5.867,168.2,165.8,0.009684,0.3910,0.16690,0.012115,0.009343,0.006864,168.2,165.8,0.010323,0.4153,0.16615,0.012243,0.008941,0.006859,168.2,165.8,0.009253,0.2640,0.13038,0.011585,0.007296,0.009089
5.900,168.2,165.8,0.009686,0.3899,0.16410,0.012201,0.009305,0.006920,168.2,165.8,0.010316,0.4147,0.17076,0.012187,0.008959,0.006823,168.2,165.8,0.009233,0.2609,0.13125,0.011557,0.007325,0.009026
5.933,168.2,165.8,0.009685,0.3908,0.16649,0.012123,0.009343,0.006863,168.2,165.8,0.010304,0.4137,0.16996,0.012186,0.008956,0.006842,168.2,165.8,0.009214,0.2608,0.13114,0.011561,0.007325,0.009028
5.967,168.8,165.8,0.009677,0.3892,0.16219,0.012300,0.009279,0.006963,168.8,165.8,0.010262,0.4138,0.16686,0.012270,0.008977,0.006857,168.8,165.8,0.009215,0.2561,0.13426,0.011543,0.007403,0.009021
6.000,168.8,165.8,0.009686,0.3913,0.16626,0.012167,0.009345,0.006883,168.8,165.8,0.010234,0.4141,0.16805,0.012175,0.008990,0.006805,168.8,165.8,0.009210,0.2560,0.13408,0.011512,0.007404,0.009020
6.033,168.8,165.8,0.009684,0.3906,0.16232,0.012234,0.009328,0.006943,168.8,165.8,0.010158,0.4117,0.15203,0.012340,0.008914,0.006837,168.8,165.8,0.009193,0.2544,0.13626,0.011535,0.007437,0.009024
6.067,168.8,165.8,0.009653,0.3926,0.17421,0.012146,0.009351,0.006890,168.8,165.8,0.010152,0.4105,0.15194,0.012316,0.008913,0.006796,168.8,165.8,0.009192,0.2547,0.13656,0.011532,0.007444,0.009020
6.100,169.2,165.8,0.009678,0.3913,0.16683,0.012208,0.009330,0.006931,169.2,165.8,0.010156,0.4103,0.15059,0.012235,0.008962,0.006759,169.2,165.8,0.009191,0.2523,0.13787,0.011541,0.007493,0.009031
6.133,169.8,165.2,0.009671,0.3920,0.16802,0.012120,0.009343,0.006881,169.8,165.2,0.010159,0.4106,0.15267,0.012203,0.008961,0.006698,169.8,165.2,0.009189,0.2524,0.13715,0.011541,0.007491,0.009021
6.167,169.8,165.2,0.009682,0.3913,0.16159,0.012196,0.009319,0.006924,169.8,165.2,0.010161,0.4100,0.15246,0.012274,0.008952,0.006757,169.8,165.2,0.009199,0.2513,0.13984,0.011557,0.007531,0.009019
6.200,169.8,164.2,0.009682,0.3925,0.16314,0.012025,0.009300,0.006798,169.8,164.2,0.010165,0.4108,0.15257,0.012162,0.008939,0.006653,169.8,165.2,0.009194,0.2525,0.13999,0.011590,0.007512,0.009047
6.233,169.2,163.8,0.009683,0.3920,0.15975,0.012004,0.009264,0.006782,169.2,163.8,0.010154,0.4114,0.15055,0.011967,0.008996,0.006593,169.8,164.2,0.009190,0.2495,0.13945,0.011459,0.007532,0.008954
6.267,168.8,163.2,0.009682,0.3929,0.16135,0.011826,0.009275,0.006695,168.8,163.2,0.010125,0.4107,0.15470,0.011813,0.008956,0.006512,169.2,163.8,0.009177,0.2492,0.13964,0.011389,0.007502,0.008915
6.300,168.8,163.2,0.009689,0.3919,0.15986,0.011894,0.009249,0.006725,168.8,163.2,0.010106,0.4094,0.15444,0.011708,0.008994,0.006481,168.8,163.2,0.009152,0.2496,0.14067,0.011307,0.007467,0.008864
6.333,168.8,163.2,0.009682,0.3931,0.16245,0.011876,0.009259,0.006706,168.8,163.2,0.010108,0.4085,0.15428,0.011732,0.008981,0.006467,168.8,163.2,0.009154,0.2491,0.14064,0.011320,0.007462,0.008871
6.367,169.2,163.8,0.009691,0.3908,0.16040,0.011994,0.009276,0.006778,169.2,163.8,0.010082,0.4068,0.15215,0.011959,0.008990,0.006591,168.8,163.2,0.009153,0.2494,0.14049,0.011325,0.007490,0.008898
6.400,168.8,163.8,0.009685,0.3923,0.16401,0.011923,0.009296,0.006743,168.8,163.8,0.010075,0.4062,0.15352,0.011918,0.008996,0.006585,169.2,163.8,0.009148,0.2485,0.13920,0.011383,0.007525,0.008932
6.433,168.8,163.8,0.009694,0.3919,0.16291,0.011962,0.009296,0.006751,168.8,163.8,0.010027,0.4069,0.15388,0.011939,0.009012,0.006563,168.8,163.8,0.009126,0.2501,0.13858,0.011379,0.007520,0.008960
6.467,168.8,164.2,0.009682,0.3920,0.16440,0.011960,0.009311,0.006761,168.8,164.2,0.010027,0.4059,0.15401,0.011946,0.009026,0.006621,168.8,163.8,0.009126,0.2503,0.13874,0.011384,0.007521,0.008969
6.500,166.8,164.8,0.009695,0.3912,0.16366,0.011951,0.009286,0.006778,166.8,164.8,0.009948,0.4066,0.15440,0.011974,0.008947,0.006673,168.8,164.2,0.009124,0.2476,0.13860,0.011431,0.007580,0.009001
6.533,166.8,164.8,0.009689,0.3924,0.16568,0.011917,0.009297,0.006732,166.8,164.8,0.009949,0.4065,0.15484,0.012012,0.008976,0.006690,166.8,164.8,0.009084,0.2440,0.14290,0.011251,0.007554,0.008892
6.567,165.8,166.2,0.009689,0.3902,0.16437,0.012083,0.009285,0.006850,165.8,166.2,0.009939,0.4064,0.15777,0.012196,0.008949,0.006785,165.8,166.2,0.009043,0.2460,0.14270,0.011466,0.007597,0.009093
6.600,164.2,167.2,0.009673,0.3908,0.16651,0.012091,0.009226,0.006849,164.2,167.2,0.009928,0.4078,0.15888,0.012260,0.008906,0.006850,164.2,167.2,0.009024,0.2467,0.14160,0.011372,0.007527,0.009005
6.633,162.8,167.8,0.009684,0.3896,0.16355,0.012160,0.009147,0.006895,162.8,167.8,0.009948,0.4126,0.15928,0.012295,0.008839,0.006867,162.8,167.8,0.009076,0.2491,0.14075,0.011499,0.007553,0.009148
6.667,160.8,168.2,0.009689,0.3906,0.16697,0.012034,0.009069,0.006815,160.8,168.2,0.009991,0.4154,0.15856,0.012271,0.008754,0.006840,160.8,168.2,0.009069,0.2486,0.14140,0.011251,0.007439,0.008972
6.700,159.8,169.8,0.009689,0.3891,0.16084,0.012350,0.009034,0.006968,159.8,169.8,0.010041,0.4166,0.16019,0.012602,0.008836,0.006981,159.8,169.8,0.009090,0.2558,0.13546,0.011554,0.007521,0.009151
6.733,158.2,170.2,0.009689,0.3892,0.16392,0.012289,0.009029,0.006903,158.2,170.2,0.010096,0.4182,0.16014,0.012744,0.008802,0.007029,158.2,170.2,0.009094,0.2561,0.13553,0.011525,0.007488,0.009095
6.767,156.8,171.8,0.009701,0.3880,0.15863,0.012657,0.009029,0.007049,156.8,171.8,0.010134,0.4199,0.16310,0.013164,0.008884,0.007103,156.8,171.8,0.009135,0.2565,0.13598,0.011747,0.007619,0.009211
6.800,156.8,171.8,0.009692,0.3889,0.16176,0.012614,0.009052,0.007003,156.8,171.8,0.010133,0.4198,0.16312,0.013161,0.008899,0.007118,156.8,171.8,0.009134,0.2554,0.13508,0.011733,0.007636,0.009198
6.833,156.8,171.2,0.009705,0.3887,0.16106,0.012548,0.009006,0.007016,156.8,171.2,0.010112,0.4195,0.16259,0.012962,0.008875,0.007070,156.8,171.2,0.009120,0.2581,0.13491,0.011687,0.007567,0.009193
6.867,156.2,171.2,0.009707,0.3888,0.16506,0.012475,0.009020,0.006950,156.2,171.2,0.010104,0.4192,0.16223,0.012986,0.008847,0.007066,156.2,171.2,0.009120,0.2588,0.13330,0.011664,0.007559,0.009186
6.900,156.2,171.8,0.009710,0.3885,0.15861,0.012720,0.009016,0.007046,156.2,171.8,0.010088,0.4185,0.16302,0.013047,0.008900,0.007096,156.2,171.8,0.009124,0.2513,0.13718,0.011672,0.007650,0.009110
6.933,156.2,171.2,0.009693,0.3892,0.16298,0.012506,0.008988,0.006967,156.2,171.2,0.010074,0.4186,0.16368,0.012905,0.008853,0.007070,156.2,171.2,0.009110,0.2525,0.13755,0.011575,0.007614,0.009080
6.967,156.2,171.2,0.009710,0.3882,0.16019,0.012540,0.009009,0.007005,156.2,171.2,0.010044,0.4168,0.16307,0.012874,0.008854,0.007050,156.2,171.2,0.009106,0.2502,0.13983,0.011559,0.007637,0.009027
7.000,156.2,170.8,0.009704,0.3895,0.16624,0.012381,0.008998,0.006921,156.2,170.8,0.010017,0.4175,0.16593,0.012614,0.008853,0.006925,156.2,171.2,0.009087,0.2506,0.14110,0.011534,0.007626,0.009004
7.033,156.8,170.8,0.009703,0.3890,0.16052,0.012471,0.008989,0.006980,156.8,170.8,0.009989,0.4157,0.17038,0.012628,0.008859,0.006965,156.2,170.8,0.009066,0.2506,0.14101,0.011469,0.007597,0.008961
7.067,156.8,170.8,0.009695,0.3834,0.14229,0.012251,0.009044,0.007010,156.8,170.8,0.009980,0.4158,0.17093,0.012625,0.008852,0.006952,156.8,170.8,0.009058,0.2488,0.14073,0.011473,0.007615,0.008992
7.100,157.2,171.2,0.009707,0.3874,0.14237,0.012451,0.009078,0.006973,157.2,171.2,0.009958,0.4147,0.16720,0.012769,0.008867,0.006993,156.8,170.8,0.009046,0.2481,0.14064,0.011463,0.007629,0.008993
7.133,157.8,170.8,0.009683,0.3868,0.14317,0.012507,0.008964,0.007034,157.8,170.8,0.009941,0.4146,0.16697,0.012642,0.008871,0.006971,157.2,171.2,0.009044,0.2501,0.13946,0.011571,0.007643,0.009053
7.167,158.2,170.2,0.009692,0.3882,0.14233,0.012308,0.009036,0.006929,158.2,170.2,0.009928,0.4108,0.16380,0.012600,0.008836,0.006978,157.8,170.8,0.009030,0.2478,0.14092,0.011492,0.007658,0.009017
7.200,158.2,170.2,0.009697,0.3876,0.14247,0.012128,0.009107,0.006872,158.2,170.2,0.009922,0.4102,0.16331,0.012526,0.008857,0.006972,158.2,170.2,0.009016,0.2483,0.13936,0.011439,0.007618,0.008989
7.233,158.8,170.2,0.009698,0.3869,0.14340,0.012264,0.009090,0.006958,158.8,170.2,0.009881,0.4085,0.16336,0.012583,0.008846,0.006986,158.8,170.2,0.009000,0.2470,0.14082,0.011460,0.007647,0.009015
7.267,159.2,170.2,0.009676,0.3870,0.14298,0.012447,0.008993,0.007009,159.2,170.2,0.009888,0.4084,0.16228,0.012582,0.008871,0.006981,159.2,170.2,0.008989,0.2471,0.14066,0.011468,0.007658,0.009027
7.300,159.8,170.2,0.009679,0.3873,0.14547,0.012501,0.009008,0.007044,159.8,170.2,0.009864,0.4074,0.16460,0.012520,0.008894,0.006924,159.8,170.2,0.008988,0.2445,0.14083,0.011502,0.007709,0.009015
7.333,159.8,170.2,0.009673,0.3869,0.14617,0.012447,0.009019,0.007026,159.8,170.2,0.009853,0.4078,0.16503,0.012474,0.008888,0.006927,159.8,170.2,0.008987,0.2442,0.14144,0.011491,0.007716,0.009033
7.367,160.2,169.8,0.009684,0.3869,0.14307,0.012433,0.009016,0.007024,160.2,169.8,0.009855,0.4068,0.16622,0.012363,0.008923,0.006868,159.8,170.2,0.008986,0.2439,0.14034,0.011503,0.007735,0.009047
7.400,160.2,169.2,0.009677,0.3873,0.14478,0.012263,0.009005,0.006939,160.2,169.2,0.009852,0.4061,0.16650,0.012279,0.008900,0.006848,160.2,169.8,0.008969,0.2472,0.14039,0.011516,0.007678,0.009075
7.433,160.8,169.8,0.009679,0.3868,0.14291,0.012440,0.009034,0.007033,160.8,169.8,0.009842,0.4049,0.16775,0.012399,0.008969,0.006917,160.2,169.2,0.008944,0.2500,0.13327,0.011490,0.007615,0.009142
7.467,160.8,169.8,0.009668,0.3882,0.14379,0.012356,0.009045,0.006984,160.8,169.8,0.009837,0.4054,0.16800,0.012357,0.008983,0.006893,160.8,169.8,0.008943,0.2492,0.13426,0.011603,0.007684,0.009182
7.500,160.8,169.2,0.009676,0.3872,0.14398,0.012326,0.009005,0.006994,160.8,169.2,0.009839,0.4047,0.16867,0.012287,0.008969,0.006874,160.8,169.2,0.008921,0.2513,0.13497,0.011514,0.007627,0.009159
7.533,161.2,169.8,0.009669,0.3875,0.14411,0.012357,0.009080,0.006976,161.2,169.8,0.009832,0.4038,0.16864,0.012407,0.009007,0.006932,161.2,169.8,0.008930,0.2412,0.14039,0.011464,0.007754,0.009036
7.567,161.8,169.8,0.009665,0.3864,0.14355,0.012470,0.009069,0.007046,161.8,169.8,0.009818,0.4041,0.16922,0.012404,0.009050,0.006932,161.8,169.8,0.008867,0.2439,0.12124,0.011442,0.007659,0.009212
7.600,161.2,169.2,0.009667,0.3877,0.14483,0.012310,0.009035,0.006924,161.2,169.2,0.009823,0.4041,0.16957,0.012261,0.008990,0.006858,161.8,169.8,0.008867,0.2439,0.12206,0.011442,0.007659,0.009212
7.633,161.8,169.2,0.009669,0.3869,0.14503,0.012374,0.009059,0.006995,161.8,169.2,0.009816,0.4029,0.16791,0.012279,0.009017,0.006891,161.2,169.2,0.008874,0.2433,0.12203,0.011342,0.007606,0.009152
7.667,161.8,168.8,0.009669,0.3881,0.14432,0.012241,0.009072,0.006922,161.8,168.8,0.009819,0.4028,0.16829,0.012204,0.009007,0.006849,161.8,169.2,0.008872,0.2434,0.11737,0.011391,0.007637,0.009179
7.700,162.2,168.8,0.009673,0.3881,0.14477,0.012322,0.009080,0.006941,162.2,168.8,0.009808,0.4021,0.16735,0.012306,0.009032,0.006903,161.8,168.8,0.008870,0.2444,0.12115,0.011390,0.007621,0.009167
7.733,162.2,168.8,0.009675,0.3886,0.14954,0.012231,0.009128,0.006890,162.2,168.8,0.009806,0.4020,0.16795,0.012302,0.009035,0.006902,162.2,168.8,0.008869,0.2444,0.12261,0.011420,0.007642,0.009187
7.767,162.2,168.8,0.009671,0.3877,0.14805,0.012250,0.009107,0.006934,162.2,168.8,0.009800,0.4021,0.16876,0.012248,0.009059,0.006876,162.2,168.8,0.008877,0.2442,0.12140,0.011425,0.007668,0.009212
7.800,162.8,168.2,0.009675,0.3883,0.15284,0.012173,0.009154,0.006860,162.8,168.2,0.009799,0.4030,0.16968,0.012175,0.009080,0.006840,162.8,168.2,0.008878,0.2441,0.11861,0.011426,0.007680,0.009216
7.833,162.2,168.2,0.009677,0.3880,0.14897,0.012227,0.009065,0.006904,162.2,168.2,0.009791,0.4026,0.16884,0.012101,0.009034,0.006801,162.2,168.2,0.008885,0.2438,0.11906,0.011425,0.007669,0.009214
7.867,161.8,167.8,0.009685,0.3880,0.15615,0.012005,0.009094,0.006818,161.8,167.8,0.009792,0.4025,0.16907,0.011995,0.008996,0.006762,161.8,167.8,0.008888,0.2437,0.12145,0.011359,0.007637,0.009174
7.900,162.8,168.2,0.009676,0.3877,0.15163,0.012270,0.009108,0.006926,162.8,168.2,0.009780,0.4022,0.16923,0.012150,0.009077,0.006845,161.8,167.8,0.008920,0.2498,0.12345,0.011540,0.007663,0.009375
7.933,162.8,168.2,0.009679,0.3886,0.15736,0.012156,0.009164,0.006871,162.8,168.2,0.009779,0.4017,0.16888,0.012157,0.009071,0.006828,162.8,168.2,0.008913,0.2488,0.12264,0.011662,0.007747,0.009452
7.967,162.8,168.8,0.009667,0.3875,0.15086,0.012310,0.009126,0.006979,162.8,168.8,0.009778,0.4009,0.16750,0.012268,0.009091,0.006882,162.8,168.2,0.008860,0.2547,0.12570,0.011650,0.007684,0.009429
8.000,162.8,168.2,0.009681,0.3885,0.15693,0.012156,0.009162,0.006876,162.8,168.2,0.009775,0.4020,0.16986,0.012090,0.009099,0.006783,162.8,168.8,0.008859,0.2540,0.12629,0.011701,0.007712,0.009440
8.033,162.8,168.2,0.009672,0.3878,0.15178,0.012250,0.009103,0.006933,162.8,168.2,0.009730,0.4020,0.17257,0.012070,0.009096,0.006789,162.8,168.2,0.008893,0.2486,0.12381,0.011666,0.007790,0.009422
8.067,162.8,168.8,0.009641,0.3905,0.17288,0.012200,0.009197,0.006924,162.8,168.8,0.009726,0.4017,0.17281,0.012153,0.009108,0.006834,162.8,168.2,0.008893,0.2469,0.12444,0.011639,0.007803,0.009392
8.100,279.2,164.8,0.009717,0.3864,0.11190,0.021329,0.014426,0.013341,279.2,164.8,0.011511,0.3949,0.10302,0.031331,0.021813,0.021206,162.8,168.8,0.008862,0.2521,0.12411,0.011742,0.007746,0.009463
8.133,280.8,164.2,0.009708,0.3868,0.11381,0.021422,0.014518,0.013395,280.8,164.2,0.010865,0.3926,0.10693,0.031215,0.021609,0.020985,279.1,164.8,0.010306,0.2461,0.05918,0.029668,0.021649,0.020220
8.167,281.2,164.2,0.009721,0.3864,0.10750,0.021551,0.014474,0.013486,281.2,164.2,0.010722,0.3902,0.10252,0.031456,0.021228,0.021044,280.8,164.3,0.009854,0.2380,0.06191,0.029027,0.021481,0.019744
8.200,281.2,164.2,0.009705,0.3865,0.10985,0.021496,0.014496,0.013446,281.2,164.2,0.010557,0.3914,0.10244,0.030775,0.020864,0.020454,281.2,164.2,0.009817,0.2469,0.05756,0.028933,0.021066,0.019853
8.233,281.2,164.2,0.009721,0.3858,0.10916,0.021544,0.014491,0.013450,281.2,164.2,0.010508,0.3903,0.10165,0.030280,0.020565,0.020034,281.2,164.2,0.009718,0.2474,0.05807,0.028284,0.020531,0.019395
8.267,282.2,164.8,0.009711,0.3866,0.11211,0.021569,0.014609,0.013485,282.2,164.8,0.010412,0.3911,0.10387,0.029849,0.020421,0.019700,282.2,164.8,0.009644,0.2422,0.05702,0.028053,0.020508,0.019328
8.300,282.2,164.8,0.009724,0.3864,0.11327,0.021593,0.014594,0.013510,282.2,164.8,0.010350,0.3882,0.10221,0.029651,0.020155,0.019496,282.2,164.8,0.009612,0.2409,0.05688,0.027761,0.020343,0.019225
8.333,284.9,164.8,0.009714,0.3873,0.11486,0.021786,0.014793,0.013651,284.9,164.8,0.010307,0.3877,0.10128,0.030207,0.020955,0.019898,284.9,164.8,0.009534,0.2379,0.05679,0.028512,0.021036,0.019486
8.367,284.3,164.2,0.009713,0.3871,0.11525,0.021735,0.014722,0.013615,284.3,164.2,0.010243,0.3860,0.09839,0.029881,0.020512,0.019599,284.3,164.2,0.009522,0.2377,0.05657,0.027726,0.020260,0.019123
8.400,552.4,187.8,0.009715,0.3874,0.11535,0.501077,0.324778,0.269826,552.1,187.9,0.009804,0.3876,0.09960,0.941119,0.938784,0.871114,284.3,164.2,0.009330,0.2437,0.05731,0.027664,0.020076,0.019016
8.433,551.4,189.3,0.009704,0.3850,0.11416,0.503108,0.322741,0.267709,551.2,189.2,0.009746,0.3868,0.09826,0.914636,0.900238,0.797067,552.3,187.7,0.009046,0.2435,0.05794,0.943259,0.926067,0.800938
8.467,551.4,189.3,0.009682,0.3844,0.11963,0.499373,0.319461,0.264582,551.2,189.1,0.009646,0.3848,0.10105,0.897046,0.867407,0.743936,551.2,189.2,0.009032,0.2435,0.05825,0.912572,0.887865,0.739160
8.500,550.4,189.2,0.009508,0.3866,0.12046,0.504178,0.317412,0.262301,550.2,189.2,0.009520,0.3873,0.09844,0.872081,0.834469,0.692226,550.2,189.1,0.008837,0.2430,0.05741,0.885431,0.853070,0.692024
8.533,550.4,189.9,0.009469,0.3869,0.12179,0.497797,0.312453,0.258065,550.2,189.8,0.009313,0.3910,0.09717,0.846496,0.801373,0.648676,550.2,189.8,0.008701,0.2383,0.05879,0.861305,0.818076,0.649626
8.567,549.9,190.2,0.009253,0.3880,0.11656,0.499757,0.310410,0.256933,549.8,190.2,0.009226,0.3921,0.09485,0.812039,0.774510,0.610645,549.9,190.2,0.008592,0.2353,0.05269,0.830981,0.789025,0.613819
8.600,546.2,190.2,0.009205,0.3872,0.11903,0.517956,0.306792,0.251991,546.2,190.2,0.009102,0.3932,0.09817,0.780345,0.747510,0.574815,546.2,190.2,0.008531,0.2337,0.05247,0.794586,0.760073,0.578697
8.633,542.8,191.2,0.009091,0.3859,0.12206,0.534713,0.302449,0.250468,542.8,191.2,0.009024,0.3931,0.09663,0.754273,0.715377,0.540276,546.2,190.2,0.008395,0.2471,0.05163,0.772608,0.737955,0.551327
8.667,538.8,192.2,0.009037,0.3864,0.12404,0.535068,0.295975,0.252313,538.8,192.2,0.008876,0.3956,0.09766,0.723017,0.682832,0.518352,542.8,191.2,0.008283,0.2381,0.05499,0.747415,0.707432,0.520131
8.700,536.8,192.2,0.008811,0.3904,0.10622,0.526368,0.291228,0.251186,536.8,192.2,0.008788,0.3928,0.09427,0.699641,0.656147,0.497856,538.8,192.2,0.008189,0.2393,0.05141,0.719122,0.674436,0.502526
8.733,533.8,193.2,0.008727,0.3910,0.10829,0.505030,0.283579,0.253025,533.8,193.2,0.008685,0.3919,0.09258,0.660490,0.620354,0.480643,536.8,192.2,0.008068,0.2382,0.05305,0.694112,0.646951,0.482106
8.767,533.8,193.8,0.008616,0.3860,0.10795,0.503034,0.280390,0.252384,533.8,193.8,0.008617,0.3885,0.09129,0.652586,0.597909,0.468338,533.8,193.2,0.008018,0.2406,0.05065,0.658950,0.611122,0.469623
8.800,533.2,194.8,0.008583,0.3865,0.11309,0.492839,0.275158,0.249853,533.2,194.8,0.008545,0.3896,0.09164,0.635623,0.574216,0.453455,533.8,193.8,0.007946,0.2382,0.05158,0.647398,0.589411,0.455152
8.833,533.2,195.8,0.008481,0.3878,0.10148,0.488523,0.270444,0.248593,533.2,195.8,0.008466,0.3892,0.09086,0.627689,0.552847,0.441840,533.2,194.8,0.007896,0.2404,0.05192,0.634950,0.566017,0.444860
8.867,536.2,196.2,0.008451,0.3877,0.10551,0.498500,0.268861,0.246605,536.2,196.2,0.008412,0.3878,0.09404,0.637186,0.534536,0.430568,533.2,195.8,0.007790,0.2381,0.05367,0.624453,0.544473,0.432200
8.900,538.2,196.8,0.008230,0.3856,0.09768,0.498086,0.265649,0.245243,538.2,196.8,0.008243,0.3866,0.09148,0.632112,0.513809,0.417959,536.2,196.2,0.007669,0.2404,0.05315,0.635426,0.524750,0.421431
8.933,540.8,197.2,0.008151,0.3849,0.10466,0.485733,0.262182,0.240537,540.8,197.2,0.008181,0.3839,0.09418,0.615968,0.493428,0.402194,538.2,196.8,0.007614,0.2359,0.05295,0.628789,0.504384,0.408100
8.967,543.2,197.8,0.008091,0.3837,0.10922,0.468233,0.259598,0.237832,543.2,197.8,0.008054,0.3850,0.09396,0.593274,0.475995,0.388674,540.8,197.2,0.007481,0.2451,0.05094,0.614314,0.484024,0.394999
9.000,546.4,197.8,0.008095,0.3828,0.11613,0.447156,0.261089,0.235245,546.4,197.8,0.008040,0.3841,0.09392,0.564552,0.464622,0.374602,543.2,197.8,0.007425,0.2472,0.05204,0.589384,0.467420,0.380239
