t_s,frame,Y_peak_cd_m2,Y_mean_r_lt_0.1deg,Y_mean_ring_0.28_0.38deg,E_within_0.05deg_frac,E_total_frac,phone_clipped_px
0.8,40,11.77944581721223,2.231568017470468,0.285096533347373,0.18764580329642716,0.9999999999999998,0
1.08,54,11.798420957378372,2.2302719684278682,0.2854876417355125,0.18784971219710433,1.0000000000000002,0
1.34,67,11.800439860715114,2.2260522079607385,0.2873622226657059,0.18778111646142637,0.9999999999999998,0
1.6,80,11.79562570120381,2.22842824180461,0.28704203587555016,0.18776091528339245,0.9999999999999998,0
1.8800000000000001,94,11.77944581721223,2.231568017470468,0.285096533347373,0.18764580329642716,0.9999999999999998,0
2.14,107,11.7721410596828,2.2304244560431816,0.2848402725492253,0.18753673117425682,0.9999999999999998,0
2.42,121,11.797350407256037,2.230495053738367,0.28544059216405687,0.18783948348515914,0.9999999999999994,0
2.68,134,11.779398979876303,2.22850139468983,0.2859420506654419,0.18758753756616403,0.9999999999999998,0
2.94,147,11.782052818487962,2.236780630854075,0.28416077190130684,0.18781133454356574,1.0000000000000002,0
3.22,161,11.801291517626687,2.24525073892217,0.280299065421283,0.1883254085583309,1.0,0
3.48,174,11.793389030013756,2.24428386479169,0.2800358106887047,0.18823121034149962,1.0000000000000007,0
3.7600000000000002,188,11.797929084586773,2.2437160688124904,0.28089374828211355,0.1882253983678653,0.9999999999999998,0
4.0200000000000005,201,11.779320087209928,2.239993918036265,0.2818504401339172,0.18789851718876915,1.0000000000000007,0
4.28,214,11.783223982744268,2.2390419457621427,0.2824184938047786,0.18790492271932097,0.9999999999999998,0
4.5600000000000005,228,11.784692806042283,2.2344166407607498,0.2843095153760325,0.18777333250823366,0.9999999999999998,0
4.82,241,11.807973608554144,2.2257536877153505,0.2874893640343713,0.187859168897423,1.0000000000000007,0
5.1000000000000005,255,11.776063723304539,2.2136158416888274,0.2913377213180094,0.18716801355796953,0.9999999999999994,0
5.36,268,11.784751042797456,2.2176083201888708,0.2894347154438812,0.1873897529943506,1.0000000000000013,0
5.62,281,11.775524893159103,2.2272476177453897,0.28623394214153125,0.18751303208005704,0.999999999999999,0
5.9,295,11.785448583059555,2.2374621814716384,0.2840756870772095,0.18786836135289325,1.0000000000000002,0
6.16,308,11.782052818487962,2.236780630854075,0.28416077190130684,0.18781133454356574,1.0000000000000002,0
6.44,322,11.77520184649981,2.2305310496742288,0.2852942644981767,0.18757210538994923,1.0000000000000007,0
6.7,335,11.776905488061326,2.227403021513128,0.2861149012724571,0.18753542436807383,0.9999999999999994,0
6.98,349,11.787783868987216,2.23536583378516,0.2845509158959,0.18783937369079623,0.9999999999999997,0
7.24,362,11.788747400737174,2.2396523415475578,0.2821373866469045,0.18797567451110023,0.999999999999999,0
7.5,375,11.792707571008728,2.2396977463795733,0.2831196039966163,0.1880159389971624,0.9999999999999998,0
7.78,389,11.782511132631893,2.2348915024203495,0.284115123265418,0.18776756437118725,0.9999999999999998,0
8.040000000000001,402,11.76880425481695,2.229938872897447,0.28479777645747895,0.18749269965912177,0.9999999999999992,0
8.32,416,11.791593465085555,2.2358708642401854,0.28433746190754644,0.18789274057227862,0.9999999999999989,0
8.58,429,11.794892432749252,2.240074933250281,0.2829825415211704,0.18804913427096956,0.9999999999999989,0
8.84,442,11.779533336229264,2.238507270552158,0.2823841902441925,0.18784373194018283,1.0000000000000007,0
9.120000000000001,456,11.774554817694403,2.2314529537333527,0.28469672096268683,0.1875940495039594,1.0000000000000013,0
9.38,469,11.79615393458339,2.2242368756160196,0.28757791032274316,0.18768708216135002,0.999999999999999,0
