t_s,frame,Y_peak_cd_m2,Y_mean_r_lt_0.1deg,Y_mean_ring_0.28_0.38deg,E_within_0.05deg_frac,E_total_frac,phone_clipped_px
0.8,40,11.977710147025677,2.2625651209269177,0.28154811770941857,0.1908408362020503,0.9999999999999998,0
1.08,54,11.99657937973243,2.261261275896566,0.28211215747866675,0.19104501234995383,1.0000000000000004,0
1.34,67,11.998864957421379,2.2571562529490468,0.2844521678810738,0.1909826976823841,1.0000000000000002,0
1.6,80,11.993521111477596,2.2594107073060474,0.28393546802293884,0.190951597276682,1.0000000000000002,0
1.8800000000000001,94,11.977710147025677,2.2625651209269177,0.28154811770941857,0.1908408362020503,0.9999999999999998,0
2.14,107,11.971531662840649,2.2616316550805187,0.28126540383415694,0.19074983744916782,1.0,0
2.42,121,11.99494120841146,2.261391164941749,0.28202743295389315,0.19102578355355482,0.9999999999999998,0
2.68,134,11.976440934508632,2.259267361450052,0.28260050635702966,0.19076532152181408,1.0000000000000007,0
2.94,147,11.97790942818844,2.2672226293897344,0.28033692647604125,0.19096902718752184,0.9999999999999998,0
3.22,161,11.996621003478163,2.2755687136572345,0.2757714158950904,0.19147374891177338,1.0000000000000004,0
3.48,174,11.988915764680085,2.274645058630631,0.27542883422948206,0.19138340430052078,1.0000000000000007,0
3.7600000000000002,188,11.995156877965632,2.2743599875340252,0.27649513251847085,0.19140389166406577,0.9999999999999998,0
4.0200000000000005,201,11.9759509380054,2.27051842905919,0.2776397272788684,0.19106673152361323,1.0000000000000007,0
4.28,214,11.97857645494081,2.269350062551733,0.27827772620903657,0.19105322919178758,0.9999999999999998,0
4.5600000000000005,228,11.982481995907358,2.2652910930359242,0.2806499367935671,0.19096187738384,1.0,0
4.82,241,12.007169693382894,2.2569722049520875,0.28464042519550864,0.19107366920905253,1.000000000000001,0
5.1000000000000005,255,11.97656851833298,2.245033838215327,0.2894336151000783,0.19040112132169074,0.9999999999999998,0
5.36,268,11.985872637652829,2.2491923594534806,0.287090257199058,0.19063408754101285,1.0000000000000013,0
5.62,281,11.97306246944396,2.2580960468782636,0.2829825319818518,0.1906984308891425,0.9999999999999994,0
5.9,295,11.981519001970637,2.267952379653297,0.2802363708273377,0.19102963580032764,1.0000000000000009,0
6.16,308,11.97790942818844,2.2672226293897344,0.28033692647604125,0.19096902718752184,0.9999999999999998,0
6.44,322,11.973132584276808,2.2614765039487734,0.2817866595579522,0.1907625746603562,1.0000000000000007,0
6.7,335,11.975011188894614,2.258367589002618,0.2828710968471055,0.19073028819953994,0.9999999999999994,0
6.98,349,11.984524005735793,2.265999740862641,0.28084746816304157,0.19100983582559525,0.9999999999999998,0
7.24,362,11.985221510832812,2.270167082268474,0.27801600627935225,0.1911417250777832,0.9999999999999997,0
7.5,375,11.988886047669498,2.2701949876356418,0.2791070525302339,0.19117842110761973,1.0000000000000002,0
7.78,389,11.979556867009503,2.2655824342721442,0.2803651705151508,0.1909430143240569,1.0000000000000002,0
8.040000000000001,402,11.967639597918835,2.261049481784009,0.2811908329591098,0.1906971646155652,0.9999999999999998,0
8.32,416,11.988648376850763,2.26661090157932,0.2806475451832615,0.19106992484538815,0.999999999999999,0
8.58,429,11.9915666444915,2.2706597307065635,0.2789792439844029,0.19121935049992012,0.999999999999999,0
8.84,442,11.975160850304237,2.2688552050598387,0.2782736600637405,0.19099552094415267,1.0000000000000007,0
9.120000000000001,456,11.97222413191765,2.262302264341057,0.28106801901933204,0.19078032660666489,1.0000000000000013,0
9.38,469,11.995440621139489,2.2555193251448187,0.2847758702198615,0.19090222736149903,0.9999999999999994,0
