spectrum,pupil_mm,arcmin_per_px,photopic_ee50_arcmin,photopic_ee80_arcmin,photopic_ee90_arcmin,photopic_ee95_arcmin,photopic_frac_in_px_32,photopic_frac_in_px_48p4,photopic_frac_in_px_73,scotopic_ee50_arcmin,scotopic_ee80_arcmin,scotopic_ee90_arcmin,scotopic_ee95_arcmin,scotopic_frac_in_px_32,scotopic_frac_in_px_48p4,scotopic_frac_in_px_73
LPS,3.0,0.507267794654,0.5951305638863773,1.1178065274767162,1.7289620773227359,2.9416358534206157,0.7789015469455111,0.63896222959467,0.3650883095165294,0.595130588011932,1.1178065276191451,1.7289620786159776,2.9416358934773594,0.7789015423569077,0.6389622212980419,0.3650882936841646
HPS,3.0,0.507267794654,0.5867076189279558,1.1246121762964651,1.8197919975794767,3.009293603588266,0.768146471764663,0.6350858609504014,0.36787784432703696,0.6482867058293219,1.6933524363403245,2.666861705837471,3.8219035637742156,0.6654791858606381,0.5523694633067731,0.2975165466770113
LED_warm,3.0,0.507267794654,0.5922653961980968,1.2215436075726593,1.9650445428602241,3.1173633643790453,0.7509154125937086,0.6239209960571149,0.3581400156327874,0.6727015238491676,1.8774536134609154,2.889968611854805,3.993761864140136,0.6472338412942936,0.5450542329591448,0.28910174473330585
E,3.0,0.507267794654,0.596339527190219,1.2716756115418284,2.0300064497786368,3.25107438761601,0.7381139661126206,0.6172541606094629,0.3488213332062742,1.001186947137937,2.221776355229686,3.2432985647763837,4.368409475193784,0.5471891599959791,0.44396914333762916,0.2105462747430611
BLUE,3.0,0.507267794654,2.218136418181582,3.2767226509657,4.081610518861553,5.076634215102229,0.13573439550624397,0.08189794726065189,0.02155223470373374,2.2954867339897715,3.3828395987125615,4.153421597547233,5.150080534638286,0.12925099126613998,0.0787449329231,0.0197483551008243
LPS,4.5,0.507267794654,0.5241709663464335,0.9851259517662928,1.172800556565367,1.8624100031969595,0.7363751363581129,0.7363751363581129,0.2962200677885166,0.5241709653952028,0.9851259500636693,1.1728005600972458,1.8624100044947625,0.736375138373979,0.736375138373979,0.29622008051249854
HPS,4.5,0.507267794654,0.5263559432334555,1.0541622211929098,1.5416063995338978,2.226726805725131,0.685999125030352,0.685999125030352,0.278483231878784,0.743660959120108,2.1862408654947476,3.2462222434166677,4.336218690339102,0.5141343107939889,0.5141343107939889,0.2187211235884732
LED_warm,4.5,0.507267794654,0.5477588632580186,1.4590560919915265,2.0029090853871647,2.7356253879058663,0.5925708167285513,0.5925708167285513,0.21903256065812346,1.1044495784016668,2.5552891574529872,3.6087670076293437,4.6509686841390065,0.40709263392878703,0.40709263392878703,0.14129082123552833
E,4.5,0.507267794654,0.6873362039310064,1.571152676180213,2.3001464228849473,3.2337969586260193,0.5469573528025616,0.5469573528025616,0.1996213930209537,1.5406968485086419,3.0514982143761076,4.068110476468845,5.072815510945366,0.3003329975545473,0.3003329975545473,0.0908465934462308
BLUE,4.5,0.507267794654,2.9553668898497816,4.353035472921768,5.208330628934268,6.11064628480499,0.0550854177105498,0.0550854177105498,0.0059971232694174745,3.0091152219724764,4.373400353772289,5.318286838583769,6.1481357833222825,0.052721417712617014,0.052721417712617014,0.005624591021889503
