0,-8,-2.30103,0
0,-7.9,-2.30103,0
0,-7.8,-2.30103,0
0,-7.7,-2.30103,0
0,-7.6,-2.30103,0
0,-7.5,-2.30103,0
0,-7.4,-2.30103,0
0,-7.3,-2.30103,0
0,-7.2,-2.30103,0
0,-7.1,-2.30103,0
0,-7,-2.30103,0
0,-6.9,-2.30103,0
0,-6.8,-2.30103,0
0,-6.7,-2.30103,0
0,-6.6,-2.30103,0
0,-6.5,-2.30103,0
0,-6.4,-2.30103,0
0,-6.3,-2.30103,0
0,-6.2,-2.30103,0
0,-6.1,-2.30103,0
0,-6,-2.30103,0
0,-5.9,-2.30103,0
0,-5.8,-2.30103,0
0,-5.7,-2.30103,0
0,-5.6,-2.30103,0
0,-5.5,-2.30103,0
0,-5.4,-2.30103,0
0,-5.3,-2.30103,0
0,-5.2,-2.30103,0
0,-5.1,-2.30103,0
0,-5,-2.30103,0
0,-4.9,-2.30103,0
0,-4.8,-2.30103,0
0,-4.7,-2.30103,0
0,-4.6,-2.30103,0
0,-4.5,-2.30103,0
0,-4.4,-2.30103,0
0,-4.3,-2.30103,0
0,-4.2,-2.30103,0
0,-4.1,-2.30103,0
0,-4,-2.30103,0
0,-3.9,-2.30103,0
0,-3.8,-2.30103,0
0,-3.7,-2.30103,0
0,-3.6,-2.30103,0
0,-3.5,-2.30103,0
0,-3.4,-1.76804,0.0313705
0,-3.3,-1.27579,0.0602169
0,-3.2,-0.902644,0.0895421
0,-3.1,-0.695294,0.109453
0,-3,-0.364762,0.147398
0,-2.9,-0.114,0.181778
0,-2.8,0.108684,0.216635
0,-2.7,0.327409,0.254978
0,-2.6,0.354574,0.260028
0,-2.5,0.601696,0.308893
0,-2.4,0.732045,0.33678
0,-2.3,0.913434,0.377966
0,-2.2,1.09164,0.421049
0,-2.1,1.26985,0.466614
0,-2,1.37006,0.493274
0,-1.9,1.47026,0.520644
0,-1.8,1.57047,0.548695
0,-1.7,1.67068,0.57739
0,-1.6,1.77089,0.606696
0,-1.5,1.87109,0.636573
0,-1.4,1.9713,0.666984
0,-1.3,2.07151,0.697887
0,-1.2,2.17172,0.729241
0,-1.1,2.27192,0.761003
0,-1,2.37213,0.79313
0,-0.9,2.47709,0.827123
0,-0.8,2.58211,0.861439
0,-0.7,2.68716,0.896019
0,-0.6,2.79222,0.930803
0,-0.5,2.89611,0.96535
0,-0.4,3,1
0,-0.3,3,1
0,-0.2,3,1
0,-0.0999999,3,1
0,1.19209e-07,3,1
0,0.1,3,1
0,0.2,3,1
0,0.3,3,1
0,0.4,3,1
0,0.5,3,1
0,0.6,3,1
0,0.7,3,1
0,0.8,3,1
0,0.9,3,1
0,1,3,1
0,1.1,3,1
0,1.2,3,1
0,1.3,3,1
0,1.4,3,1
0,1.5,3,1
0,1.6,3,1
0,1.7,3,1
0,1.8,3,1
0,1.9,3,1
0,2,3,1
0,2.1,3,1
0,2.2,3,1
0,2.3,3,1
0,2.4,3,1
0,2.5,3,1
0,2.6,3,1
0,2.7,3,1
0,2.8,3,1
0,2.9,3,1
0,3,3,1
0,3.1,3,1
0,3.2,3,1
0,3.3,3,1
0,3.4,3,1
0,3.5,3,1
0,3.6,3,1
0,3.7,3,1
0,3.8,3,1
0,3.9,3,1
0,4,3,1
0,4.1,3,1
0,4.2,3,1
0,4.3,3,1
0,4.4,3,1
0,4.5,3,1
0,4.6,3,1
0,4.7,3,1
0,4.8,3,1
0,4.9,3,1
0,5,3,1
0,5.1,3,1
0,5.2,3,1
0,5.3,3,1
0,5.4,3,1
0,5.5,3,1
0,5.6,3,1
0,5.7,3,1
0,5.8,3,1
0,5.9,3,1
0,6,3,1
0,6.1,3,1
0,6.2,3,1
0,6.3,3,1
0,6.4,3,1
0,6.5,3,1
0,6.6,3,1
0,6.7,3,1
0,6.8,3,1
0,6.9,3,1
0,7,3,1
0,7.1,3,1
0,7.2,3,1
0,7.3,3,1
0,7.4,3,1
0,7.5,3,1
0,7.6,3,1
0,7.7,3,1
0,7.8,3,1
0,7.9,3,1
0,8,3,1
