Y_p0.1,Y_p99.9,amb,clipped_pct,config,dark_log_range,dark_median,donor,file,geom,halo_ratio,headroom,lamp_d_uv,lamp_saturation_retention,lum,near_black_pct,peak,plateau_diam_max_arcmin,plateau_diam_median_arcmin,plateau_n,scene,sky_median,source_bg_contrast,used_log_range
0.19869536763116874,49.03206295521461,DARK,0.2566315406976744,native_default,2.094274968669219,2.725971457031258,pcond,d0/work/out/pcond/native_default/S5__PHONE_SDR100_DARK.png,PHONE,2.464792456273134,2.0394817997223362,0.010759372997947705,0.8106223360391978,SDR100,0.0,100.00001,2.4537621868939095,0.9274349318593254,6,S5,,36.68417354189975,2.392292423842207
0.04688114846461703,38.226668729114316,DARK,0.00048665905315614617,target_BRIGHT500,2.269097241915172,1.1278510810373248,pcond,d0/work/out/pcond/target_BRIGHT500/S5__PHONE_BRIGHT500_DARK.png,PHONE,2.594475141954961,13.079873727505541,0.0006900230839934276,1.013289131283083,BRIGHT500,0.0,467.99404001612874,,,0,S5,,414.4378005512821,2.911368210775425
0.2773588642233298,66.3684283157442,DARK,0.003082174003322259,target_SDR200,1.9533066072570173,2.2532454724241484,pcond,d0/work/out/pcond/target_SDR200/S5__PHONE_SDR200_DARK.png,PHONE,2.459719019624383,3.013481034212696,0.006323614948841789,0.8901596653628882,SDR200,0.0,200.00002,2.6231821177080508,1.2668996772769283,6,S5,,88.76086624722272,2.3789194829194042
0.01685676030811733,23.38017800619477,DARK,0.0,ctrl_photometric_clamp,2.3737831617556133,0.4981001459678554,controls,d0/work/out/controls/ctrl_photometric_clamp/S5__PHONE_BRIGHT500_DARK.png,PHONE,3.8790234978094427,21.385637007020257,1.1277343566846721e-07,1.0000021487460589,BRIGHT500,0.0,286.131292939757,,,0,S5,,574.4453103577735,3.1420737018811646
0.021683044595211455,23.385148278751537,DARK,0.0,ctrl_photometric_clamp,2.3295698884394884,0.502732759552442,controls,d0/work/out/controls/ctrl_photometric_clamp/S5__PHONE_HDR1000_DARK.png,PHONE,3.8532016214715314,42.762183420005535,4.80615864888054e-06,0.9999068805362836,HDR1000,0.0,286.13329745903076,,,0,S5,,569.1558626769439,3.0328198649774074
0.10000001000000001,23.380840792044285,DARK,0.07397217607973422,ctrl_photometric_clamp,2.042273445708643,0.5050879029661856,controls,d0/work/out/controls/ctrl_photometric_clamp/S5__PHONE_SDR100_DARK.png,PHONE,3.825687983970345,4.277006155998746,0.018652581813382873,0.7009477726241572,SDR100,3.7959406146179404,100.00001,4.994389955956026,2.4537621868939095,17,S5,,197.98535940524152,2.3688600812227065
0.20000002000000003,23.38016425134925,DARK,0.04315043604651163,ctrl_photometric_clamp,1.741878063263993,0.5127017825705934,controls,d0/work/out/controls/ctrl_photometric_clamp/S5__PHONE_SDR200_DARK.png,PHONE,3.7732245010203047,8.554259835384098,0.0061300502606721485,0.8975588860226638,SDR200,14.752906976744187,200.00002,4.3500554206037485,2.073807552345337,11,S5,,390.09035427424556,2.06781751876764
2.250255913547072,500.00005,DARK,19.20243069975083,ctrl_key018_clamp,1.852476433277207,67.12557722575718,controls,d0/work/out/controls/ctrl_key018_clamp/S5__PHONE_BRIGHT500_DARK.png,PHONE,2.672742890064698,0.99999990000001,0.05264373033429859,0.057290292628094465,BRIGHT500,0.0,500.00005,12.198501983444267,1.9643387080319938,100,S5,,7.448726262992071,2.3467381360891175
4.505265035290337,1000.0,DARK,13.747793812292358,ctrl_key018_clamp,1.9008887933782277,134.2556885820424,controls,d0/work/out/controls/ctrl_key018_clamp/S5__PHONE_HDR1000_DARK.png,PHONE,2.7478576237168224,1.0,0.05135224841437249,0.0028378396567778656,HDR1000,0.0,1000.0,241.90767316682442,1.8548698637186507,127,S5,,7.448473957130757,2.3462796553001475
0.4520276167116779,100.00001,DARK,19.202592919435215,ctrl_key018_clamp,1.8524430073969673,13.432662836715386,controls,d0/work/out/controls/ctrl_key018_clamp/S5__PHONE_SDR100_DARK.png,PHONE,2.6712423814595474,0.9999999000000099,0.0526418370794632,0.057223293504363934,SDR100,0.0,100.00001,12.198501983444267,1.9643387080319938,100,S5,,7.444541057538555,2.344835074505008
