curve,t_s,pupil_mm
1,22.5243,4.46516
1,22.6214,4.49905
1,22.7184,4.44285
1,22.8155,4.40703
1,22.9126,4.42170
1,23.0097,4.40560
1,23.1068,4.34792
1,23.2039,4.30941
1,23.3010,4.30547
1,23.3981,4.27664
1,23.4951,4.22259
1,23.5922,4.20686
1,23.6893,4.15203
1,23.7864,4.06001
1,23.8835,4.01599
1,23.9806,4.02835
1,24.0777,4.00122
1,24.1748,3.95419
1,24.2718,3.95299
1,24.3689,3.96383
1,24.4660,3.96965
1,24.5631,3.98532
1,24.6602,3.99409
1,24.7573,3.99054
1,24.8544,3.98155
1,24.9515,3.95282
1,25.0485,3.93214
1,25.1456,3.93349
1,25.2427,3.93440
1,25.3398,3.97778
1,25.4369,4.01632
1,25.5340,3.97023
1,25.6311,3.90111
1,25.7282,3.93707
1,25.8252,4.04669
1,25.9223,4.11317
1,26.0194,4.11690
1,26.1165,4.11939
1,26.2136,4.14992
1,26.3107,4.14063
1,26.4078,4.07441
1,26.5049,4.03170
1,26.6019,4.06209
1,26.6990,4.07967
1,26.7961,4.12301
1,26.8932,4.18443
1,26.9903,4.20046
1,27.0874,4.20365
1,27.1845,4.27480
1,27.2816,4.32552
1,27.3786,4.23551
1,27.4757,4.05007
1,27.5728,3.91794
1,27.6699,3.90770
1,27.7670,3.90737
1,27.8641,3.92491
1,27.9612,4.01892
1,28.0583,4.10152
1,28.1553,4.05620
1,28.2524,3.93285
1,28.3495,3.88664
1,28.4466,3.92855
1,28.5437,3.97555
1,28.6408,4.01614
1,28.7379,4.12794
1,28.8350,4.28689
1,28.9320,4.39314
1,29.0291,4.44790
1,29.1262,4.45171
1,29.2233,4.44330
1,29.3204,4.48698
1,29.4175,4.48125
1,29.5146,4.34222
1,29.6117,4.15441
1,29.7087,4.02648
1,29.8058,3.97707
1,29.9029,3.97442
1,30.0000,4.01392
2,0.0000,4.28228
2,0.0971,4.31903
2,0.1942,4.28779
2,0.2913,4.22476
2,0.3883,4.17826
2,0.4854,4.15315
2,0.5825,4.12631
2,0.6796,4.09733
2,0.7767,4.08152
2,0.8738,4.07654
2,0.9709,4.10078
2,1.0680,4.13529
2,1.1650,4.11490
2,1.2621,4.05831
2,1.3592,4.06873
2,1.4563,4.13974
2,1.5534,4.19583
2,1.6505,4.22251
2,1.7476,4.25086
2,1.8447,4.26306
2,1.9417,4.28717
2,2.0388,4.36072
2,2.1359,4.44938
2,2.2330,4.50022
2,2.3301,4.49738
2,2.4272,4.47889
2,2.5243,4.45077
2,2.6214,4.42983
2,2.7184,4.44150
2,2.8155,4.50435
2,2.9126,4.55982
2,3.0097,4.57742
2,3.1068,4.61015
2,3.2039,4.67011
2,3.3010,4.69479
2,3.3981,4.65739
2,3.4951,4.60279
2,3.5922,4.56751
2,3.6893,4.54148
2,3.7864,4.52853
2,3.8835,4.51407
2,3.9806,4.50276
2,4.0777,4.52601
2,4.1748,4.62967
2,4.2718,4.74477
2,4.3689,4.78101
2,4.4660,4.71755
2,4.5631,4.62106
2,4.6602,4.57352
2,4.7573,4.56549
2,4.8544,4.55059
2,4.9515,4.51415
2,5.0485,4.47581
2,5.1456,4.42975
2,5.2427,4.35846
2,5.3398,4.30838
2,5.4369,4.32367
2,5.5340,4.39926
2,5.6311,4.48272
2,5.7282,4.54556
2,5.8252,4.61433
2,5.9223,4.64577
2,6.0194,4.63577
2,6.1165,4.63094
2,6.2136,4.65834
2,6.3107,4.72331
2,6.4078,4.80973
2,6.5049,4.85343
2,6.6019,4.84211
2,6.6990,4.78236
2,6.7961,4.72115
2,6.8932,4.69395
2,6.9903,4.69233
2,7.0874,4.64230
2,7.1845,4.52851
2,7.2816,4.45088
2,7.3786,4.45472
2,7.4757,4.44791
2,7.5728,4.39249
2,7.6699,4.29061
2,7.7670,4.19564
2,7.8641,4.16088
2,7.9612,4.14561
2,8.0583,4.13242
2,8.1553,4.14786
2,8.2524,4.21041
2,8.3495,4.28633
2,8.4466,4.37820
2,8.5437,4.48753
2,8.6408,4.55857
2,8.7379,4.56035
2,8.8350,4.51992
2,8.9320,4.46508
2,9.0291,4.39572
2,9.1262,4.33065
2,9.2233,4.31422
2,9.3204,4.36186
2,9.4175,4.43114
2,9.5146,4.49773
2,9.6117,4.56767
2,9.7087,4.61031
2,9.8058,4.59778
2,9.9029,4.57503
2,10.0000,4.60745
2,10.0971,4.67350
2,10.1942,4.71534
2,10.2913,4.69649
2,10.3883,4.63018
2,10.4854,4.56967
2,10.5825,4.51361
2,10.6796,4.46482
2,10.7767,4.43746
2,10.8738,4.44859
2,10.9709,4.49832
2,11.0680,4.57626
2,11.1650,4.64367
2,11.2621,4.66708
2,11.3592,4.65096
2,11.4563,4.64416
2,11.5534,4.65550
2,11.6505,4.66088
2,11.7476,4.64557
2,11.8447,4.60749
2,11.9417,4.55048
2,12.0388,4.48808
2,12.1359,4.49782
2,12.2330,4.57194
2,12.3301,4.61013
2,12.4272,4.60025
2,12.5243,4.60867
2,12.6214,4.66007
2,12.7184,4.73026
2,12.8155,4.84749
2,12.9126,4.96996
2,13.0097,5.03475
2,13.1068,5.03223
2,13.2039,5.00262
2,13.3010,4.94876
2,13.3981,4.87952
2,13.4951,4.81178
2,13.5922,4.77515
2,13.6893,4.77745
2,13.7864,4.78897
2,13.8835,4.79031
2,13.9806,4.76175
2,14.0777,4.73521
2,14.1748,4.71701
2,14.2718,4.64527
2,14.3689,4.54720
2,14.4660,4.48931
2,14.5631,4.49774
2,14.6602,4.54086
2,14.7573,4.59557
2,14.8544,4.65003
2,14.9515,4.68741
2,15.0485,4.70643
2,15.1456,4.69558
2,15.2427,4.64574
2,15.3398,4.56710
2,15.4369,4.49042
2,15.5340,4.44040
2,15.6311,4.42240
2,15.7282,4.41683
2,15.8252,4.40935
2,15.9223,4.39222
2,16.0194,4.34009
2,16.1165,4.26832
2,16.2136,4.27319
2,16.3107,4.36851
2,16.4078,4.47557
2,16.5049,4.49901
2,16.6019,4.47651
2,16.6990,4.47700
2,16.7961,4.52502
2,16.8932,4.62350
2,16.9903,4.74143
2,17.0874,4.83955
2,17.1845,4.88445
2,17.2816,4.86300
2,17.3786,4.83457
2,17.4757,4.82752
2,17.5728,4.80107
2,17.6699,4.74368
2,17.7670,4.69315
2,17.8641,4.64217
2,17.9612,4.57684
2,18.0583,4.47908
2,18.1553,4.39544
2,18.2524,4.30783
2,18.3495,4.22636
2,18.4466,4.18733
2,18.5437,4.19244
2,18.6408,4.23671
2,18.7379,4.32243
2,18.8350,4.40017
2,18.9320,4.42469
2,19.0291,4.41383
2,19.1262,4.46359
2,19.2233,4.53770
2,19.3204,4.56427
2,19.4175,4.56111
2,19.5146,4.53802
2,19.6117,4.47177
2,19.7087,4.38656
2,19.8058,4.34953
2,19.9029,4.38229
2,20.0000,4.45015
2,20.0971,4.51965
2,20.1942,4.55664
2,20.2913,4.55996
2,20.3883,4.58962
2,20.4854,4.65291
2,20.5825,4.70368
2,20.6796,4.66387
2,20.7767,4.54357
2,20.8738,4.44465
2,20.9709,4.41046
2,21.0680,4.41099
2,21.1650,4.39889
2,21.2621,4.35079
2,21.3592,4.28313
2,21.4563,4.24079
2,21.5534,4.29103
2,21.6505,4.37898
2,21.7476,4.41572
2,21.8447,4.37822
2,21.9417,4.34917
2,22.0388,4.37805
2,22.1359,4.45380
2,22.2330,4.53800
2,22.3301,4.62018
2,22.4272,4.69670
2,22.5243,4.70103
2,22.6214,4.63509
2,22.7184,4.56306
2,22.8155,4.55312
2,22.9126,4.54590
2,23.0097,4.52583
2,23.1068,4.54873
2,23.2039,4.61509
2,23.3010,4.68584
2,23.3981,4.73877
2,23.4951,4.75003
2,23.5922,4.70335
2,23.6893,4.60128
2,23.7864,4.51781
2,23.8835,4.51487
2,23.9806,4.53201
2,24.0777,4.51652
2,24.1748,4.49305
2,24.2718,4.54618
2,24.3689,4.64116
2,24.4660,4.72770
2,24.5631,4.78167
2,24.6602,4.79198
2,24.7573,4.75034
2,24.8544,4.68516
2,24.9515,4.60612
2,25.0485,4.54461
2,25.1456,4.50265
2,25.2427,4.48895
2,25.3398,4.51162
2,25.4369,4.54925
2,25.5340,4.60627
2,25.6311,4.67331
2,25.7282,4.73117
2,25.8252,4.77954
2,25.9223,4.82018
2,26.0194,4.83954
2,26.1165,4.83198
2,26.2136,4.79402
2,26.3107,4.74430
2,26.4078,4.69175
2,26.5049,4.62978
2,26.6019,4.56663
2,26.6990,4.49623
2,26.7961,4.42379
2,26.8932,4.37163
2,26.9903,4.35887
2,27.0874,4.34311
2,27.1845,4.35537
2,27.2816,4.42303
2,27.3786,4.50104
2,27.4757,4.56492
2,27.5728,4.63031
2,27.6699,4.68983
2,27.7670,4.71208
2,27.8641,4.71741
2,27.9612,4.70357
2,28.0583,4.68700
2,28.1553,4.71430
2,28.2524,4.76443
2,28.3495,4.79740
2,28.4466,4.77511
2,28.5437,4.67624
2,28.6408,4.53326
2,28.7379,4.40500
2,28.8350,4.36049
2,28.9320,4.35994
2,29.0291,4.34826
2,29.1262,4.32647
2,29.2233,4.33707
2,29.3204,4.40745
2,29.4175,4.47435
2,29.5146,4.48588
2,29.6117,4.49345
2,29.7087,4.53322
2,29.8058,4.59684
2,29.9029,4.63666
2,30.0000,4.64098
3,0.0000,5.73231
3,0.0971,5.70059
3,0.1942,5.70598
3,0.2913,5.73975
3,0.3883,5.78601
3,0.4854,5.82970
3,0.5825,5.86157
3,0.6796,5.89150
3,0.7767,5.92742
3,0.8738,5.97331
3,0.9709,6.02502
3,1.0680,6.06810
3,1.1650,6.09667
3,1.2621,6.11918
3,1.3592,6.14061
3,1.4563,6.16064
3,1.5534,6.17101
3,1.6505,6.16623
3,1.7476,6.16336
3,1.8447,6.17895
3,1.9417,6.20556
3,2.0388,6.23281
3,2.1359,6.25149
3,2.2330,6.25645
3,2.3301,6.24445
3,2.4272,6.22475
3,2.5243,6.20477
3,2.6214,6.19086
3,2.7184,6.18657
3,2.8155,6.18622
3,2.9126,6.18200
3,3.0097,6.16666
3,3.1068,6.14342
3,3.2039,6.12071
3,3.3010,6.09709
3,3.3981,6.07616
3,3.4951,6.06111
3,3.5922,6.05608
3,3.6893,6.06516
3,3.7864,6.10150
3,3.8835,6.16975
3,3.9806,6.24447
3,4.0777,6.29023
3,4.1748,6.30311
3,4.2718,6.30664
3,4.3689,6.31435
3,4.4660,6.31991
3,4.5631,6.31225
3,4.6602,6.30053
3,4.7573,6.29534
3,4.8544,6.29107
3,4.9515,6.28132
3,5.0485,6.27264
3,5.1456,6.27867
3,5.2427,6.29725
3,5.3398,6.30927
3,5.4369,6.31266
3,5.5340,6.31291
3,5.6311,6.31665
3,5.7282,6.32080
3,5.8252,6.32044
3,5.9223,6.30692
3,6.0194,6.28056
3,6.1165,6.24761
3,6.2136,6.21418
3,6.3107,6.18985
3,6.4078,6.18398
3,6.5049,6.18715
3,6.6019,6.17001
3,6.6990,6.13332
3,6.7961,6.10411
3,6.8932,6.08570
3,6.9903,6.06696
3,7.0874,6.03878
3,7.1845,6.00345
3,7.2816,5.97462
3,7.3786,5.96872
3,7.4757,5.98826
3,7.5728,6.02792
3,7.6699,6.07980
3,7.7670,6.13487
3,7.8641,6.19346
3,7.9612,6.25509
3,8.0583,6.30079
3,8.1553,6.32187
3,8.2524,6.32941
3,8.3495,6.32297
3,8.4466,6.30209
3,8.5437,6.27488
3,8.6408,6.25267
3,8.7379,6.23806
3,8.8350,6.23109
3,8.9320,6.22947
3,9.0291,6.22362
3,9.1262,6.20623
3,9.2233,6.17784
3,9.3204,6.15246
3,9.4175,6.14946
3,9.5146,6.16832
3,9.6117,6.17544
3,9.7087,6.14159
3,9.8058,6.07736
3,9.9029,6.02083
3,10.0000,5.99455
3,10.0971,5.99282
3,10.1942,6.00755
3,10.2913,6.02495
3,10.3883,6.03915
3,10.4854,6.04111
3,10.5825,6.02928
3,10.6796,6.00817
3,10.7767,5.99262
3,10.8738,5.98568
3,10.9709,5.99146
3,11.0680,6.00848
3,11.1650,6.03314
3,11.2621,6.04668
3,11.3592,6.04579
3,11.4563,6.04419
3,11.5534,6.04191
3,11.6505,6.03089
3,11.7476,6.01100
3,11.8447,5.98740
3,11.9417,5.96606
3,12.0388,5.94229
3,12.1359,5.90669
3,12.2330,5.86230
3,12.3301,5.81788
3,12.4272,5.78861
3,12.5243,5.78431
3,12.6214,5.79843
3,12.7184,5.81608
3,12.8155,5.82366
3,12.9126,5.82876
3,13.0097,5.83992
3,13.1068,5.85883
3,13.2039,5.88086
3,13.3010,5.89379
3,13.3981,5.89331
3,13.4951,5.88500
3,13.5922,5.88080
3,13.6893,5.87919
3,13.7864,5.87312
3,13.8835,5.86790
3,13.9806,5.86756
3,14.0777,5.87167
3,14.1748,5.87465
3,14.2718,5.86817
3,14.3689,5.84797
3,14.4660,5.82293
3,14.5631,5.80631
3,14.6602,5.80230
3,14.7573,5.80600
3,14.8544,5.81046
3,14.9515,5.82116
3,15.0485,5.85232
3,15.1456,5.90818
3,15.2427,5.97849
3,15.3398,6.04553
3,15.4369,6.09207
3,15.5340,6.11823
3,15.6311,6.13697
3,15.7282,6.16561
3,15.8252,6.21811
3,15.9223,6.29162
3,16.0194,6.36500
3,16.1165,6.41395
3,16.2136,6.43552
3,16.3107,6.43997
3,16.4078,6.43755
3,16.5049,6.43028
3,16.6019,6.41284
3,16.6990,6.38803
3,16.7961,6.36327
3,16.8932,6.33508
3,16.9903,6.30069
3,17.0874,6.26338
3,17.1845,6.23504
3,17.2816,6.22227
3,17.3786,6.21943
3,17.4757,6.21168
3,17.5728,6.19647
3,17.6699,6.18532
3,17.7670,6.17970
3,17.8641,6.16939
3,17.9612,6.15278
3,18.0583,6.13882
3,18.1553,6.12678
3,18.2524,6.11573
3,18.3495,6.10229
3,18.4466,6.08669
3,18.5437,6.07272
3,18.6408,6.07276
3,18.7379,6.09070
3,18.8350,6.11615
3,18.9320,6.14209
3,19.0291,6.16689
3,19.1262,6.18567
3,19.2233,6.20149
3,19.3204,6.20987
3,19.4175,6.19757
3,19.5146,6.15691
3,19.6117,6.08424
3,19.7087,5.99732
3,19.8058,5.93436
3,19.9029,5.92036
3,20.0000,5.93788
3,20.0971,5.96182
3,20.1942,5.98269
3,20.2913,5.99597
3,20.3883,6.00041
3,20.4854,6.00113
3,20.5825,6.01146
3,20.6796,6.03748
3,20.7767,6.07366
3,20.8738,6.09690
3,20.9709,6.09689
3,21.0680,6.08452
3,21.1650,6.06828
3,21.2621,6.06103
3,21.3592,6.06342
3,21.4563,6.06802
3,21.5534,6.06574
3,21.6505,6.05530
3,21.7476,6.04630
3,21.8447,6.04838
3,21.9417,6.05419
3,22.0388,6.05514
3,22.1359,6.06111
3,22.2330,6.08758
3,22.3301,6.12420
3,22.4272,6.14939
3,22.5243,6.15439
3,22.6214,6.13681
3,22.7184,6.11222
3,22.8155,6.10000
3,22.9126,6.10668
3,23.0097,6.12409
3,23.1068,6.14778
3,23.2039,6.16256
3,23.3010,6.15520
3,23.3981,6.12380
3,23.4951,6.08673
3,23.5922,6.05309
3,23.6893,6.02177
3,23.7864,5.98373
3,23.8835,5.93981
3,23.9806,5.90975
3,24.0777,5.90130
3,24.1748,5.90860
3,24.2718,5.91391
3,24.3689,5.89851
3,24.4660,5.86877
3,24.5631,5.83458
3,24.6602,5.79252
3,24.7573,5.75011
3,24.8544,5.72423
3,24.9515,5.72551
3,25.0485,5.74538
3,25.1456,5.76859
3,25.2427,5.78611
3,25.3398,5.79926
3,25.4369,5.81462
3,25.5340,5.82596
3,25.6311,5.82622
3,25.7282,5.81714
3,25.8252,5.81393
3,25.9223,5.82641
3,26.0194,5.85491
3,26.1165,5.89284
3,26.2136,5.92606
3,26.3107,5.95013
3,26.4078,5.96242
3,26.5049,5.95525
3,26.6019,5.92764
3,26.6990,5.89594
3,26.7961,5.88644
3,26.8932,5.89728
3,26.9903,5.91876
3,27.0874,5.93699
3,27.1845,5.94201
3,27.2816,5.93463
3,27.3786,5.91622
3,27.4757,5.89761
3,27.5728,5.88978
3,27.6699,5.89729
3,27.7670,5.91084
3,27.8641,5.92511
3,27.9612,5.95580
3,28.0583,5.99941
3,28.1553,6.03126
3,28.2524,6.03289
3,28.3495,6.00659
3,28.4466,5.97308
3,28.5437,5.95555
3,28.6408,5.96238
3,28.7379,5.97412
3,28.8350,5.97203
3,28.9320,5.94786
3,29.0291,5.91124
3,29.1262,5.88580
3,29.2233,5.87684
3,29.3204,5.88228
3,29.4175,5.89306
3,29.5146,5.90905
3,29.6117,5.92891
3,29.7087,5.93631
3,29.8058,5.92681
3,29.9029,5.92025
3,30.0000,5.92591
4,0.0000,7.19227
4,0.0971,7.23625
4,0.1942,7.26479
4,0.2913,7.27754
4,0.3883,7.27836
4,0.4854,7.27280
4,0.5825,7.26720
4,0.6796,7.26530
4,0.7767,7.26245
4,0.8738,7.25278
4,0.9709,7.23910
4,1.0680,7.22516
4,1.1650,7.21152
4,1.2621,7.20495
4,1.3592,7.21013
4,1.4563,7.22220
4,1.5534,7.23094
4,1.6505,7.23116
4,1.7476,7.22138
4,1.8447,7.20082
4,1.9417,7.17603
4,2.0388,7.15349
4,2.1359,7.13404
4,2.2330,7.11682
4,2.3301,7.10229
4,2.4272,7.09255
4,2.5243,7.08967
4,2.6214,7.09728
4,2.7184,7.11886
4,2.8155,7.15239
4,2.9126,7.19433
4,3.0097,7.24016
4,3.1068,7.28251
4,3.2039,7.31213
4,3.3010,7.32441
4,3.3981,7.32079
4,3.4951,7.30686
4,3.5922,7.29127
4,3.6893,7.28070
4,3.7864,7.27838
4,3.8835,7.27679
4,3.9806,7.26492
4,4.0777,7.23579
4,4.1748,7.19365
4,4.2718,7.15212
4,4.3689,7.12400
4,4.4660,7.10950
4,4.5631,7.09886
4,4.6602,7.08695
4,4.7573,7.07439
4,4.8544,7.06450
4,4.9515,7.06353
4,5.0485,7.07072
4,5.1456,7.08002
4,5.2427,7.08932
4,5.3398,7.09837
4,5.4369,7.10572
4,5.5340,7.11372
4,5.6311,7.13082
4,5.7282,7.15976
4,5.8252,7.20084
4,5.9223,7.25269
4,6.0194,7.30608
4,6.1165,7.35013
4,6.2136,7.37881
4,6.3107,7.39502
4,6.4078,7.40542
4,6.5049,7.41369
4,6.6019,7.41732
4,6.6990,7.41358
4,6.7961,7.40318
4,6.8932,7.38992
4,6.9903,7.37925
4,7.0874,7.37202
4,7.1845,7.36687
4,7.2816,7.36553
4,7.3786,7.36577
4,7.4757,7.36410
4,7.5728,7.35683
4,7.6699,7.34533
4,7.7670,7.33154
4,7.8641,7.31436
4,7.9612,7.29172
4,8.0583,7.26386
4,8.1553,7.23146
4,8.2524,7.19452
4,8.3495,7.15578
4,8.4466,7.11734
4,8.5437,7.08312
4,8.6408,7.05883
4,8.7379,7.04752
4,8.8350,7.04500
4,8.9320,7.04442
4,9.0291,7.04014
4,9.1262,7.02917
4,9.2233,7.01103
4,9.3204,6.99241
4,9.4175,6.98113
4,9.5146,6.97691
4,9.6117,6.97027
4,9.7087,6.95652
4,9.8058,6.94077
4,9.9029,6.93422
4,10.0000,6.94254
4,10.0971,6.96344
4,10.1942,6.98804
4,10.2913,7.00816
4,10.3883,7.02056
4,10.4854,7.02503
4,10.5825,7.02076
4,10.6796,7.00912
4,10.7767,6.99454
4,10.8738,6.98232
4,10.9709,6.97298
4,11.0680,6.96744
4,11.1650,6.96791
4,11.2621,6.97703
4,11.3592,6.99527
4,11.4563,7.02030
4,11.5534,7.05249
4,11.6505,7.09087
4,11.7476,7.13087
4,11.8447,7.16930
4,11.9417,7.20524
4,12.0388,7.23984
4,12.1359,7.27212
4,12.2330,7.29999
4,12.3301,7.32066
4,12.4272,7.33281
4,12.5243,7.33927
4,12.6214,7.34348
4,12.7184,7.34812
4,12.8155,7.35385
4,12.9126,7.35990
4,13.0097,7.36544
4,13.1068,7.36860
4,13.2039,7.36997
4,13.3010,7.37196
4,13.3981,7.37127
4,13.4951,7.36897
4,13.5922,7.36290
4,13.6893,7.35014
4,13.7864,7.33315
4,13.8835,7.31795
4,13.9806,7.30789
4,14.0777,7.30217
4,14.1748,7.29603
4,14.2718,7.29217
4,14.3689,7.29134
4,14.4660,7.29287
4,14.5631,7.30069
4,14.6602,7.31755
4,14.7573,7.34133
4,14.8544,7.36635
4,14.9515,7.38757
4,15.0485,7.40232
4,15.1456,7.41156
4,15.2427,7.41721
4,15.3398,7.41928
4,15.4369,7.41707
4,15.5340,7.41405
4,15.6311,7.41318
4,15.7282,7.41414
4,15.8252,7.41026
4,15.9223,7.39755
4,16.0194,7.37848
4,16.1165,7.35556
4,16.2136,7.33103
4,16.3107,7.30736
4,16.4078,7.28635
4,16.5049,7.26592
4,16.6019,7.24248
4,16.6990,7.21500
4,16.7961,7.18361
4,16.8932,7.15173
4,16.9903,7.12608
4,17.0874,7.11186
4,17.1845,7.10805
4,17.2816,7.10941
4,17.3786,7.11224
4,17.4757,7.11711
4,17.5728,7.12411
4,17.6699,7.13026
4,17.7670,7.13452
4,17.8641,7.13625
4,17.9612,7.13804
4,18.0583,7.14089
4,18.1553,7.14518
4,18.2524,7.14895
4,18.3495,7.14810
4,18.4466,7.14053
4,18.5437,7.12829
4,18.6408,7.11714
4,18.7379,7.11352
4,18.8350,7.12008
4,18.9320,7.13174
4,19.0291,7.13729
4,19.1262,7.13269
4,19.2233,7.12036
4,19.3204,7.10647
4,19.4175,7.09754
4,19.5146,7.09402
4,19.6117,7.09365
4,19.7087,7.09353
4,19.8058,7.09235
4,19.9029,7.09502
4,20.0000,7.10634
4,20.0971,7.13038
4,20.1942,7.16892
4,20.2913,7.21342
4,20.3883,7.25477
4,20.4854,7.28770
4,20.5825,7.31139
4,20.6796,7.33115
4,20.7767,7.34817
4,20.8738,7.36008
4,20.9709,7.36304
4,21.0680,7.35241
4,21.1650,7.33023
4,21.2621,7.30311
4,21.3592,7.27943
4,21.4563,7.26483
4,21.5534,7.25434
4,21.6505,7.24090
4,21.7476,7.22145
4,21.8447,7.19430
4,21.9417,7.16435
4,22.0388,7.13839
4,22.1359,7.11844
4,22.2330,7.10801
4,22.3301,7.11165
4,22.4272,7.12567
4,22.5243,7.14247
4,22.6214,7.15449
