curve,t_s,pupil_mm
4,22.7184,7.16015
4,22.8155,7.16132
4,22.9126,7.16361
4,23.0097,7.17128
4,23.1068,7.18370
4,23.2039,7.19520
4,23.3010,7.20427
4,23.3981,7.21300
4,23.4951,7.22108
4,23.5922,7.22834
4,23.6893,7.23521
4,23.7864,7.24341
4,23.8835,7.25203
4,23.9806,7.25843
4,24.0777,7.26230
4,24.1748,7.26679
4,24.2718,7.27427
4,24.3689,7.28406
4,24.4660,7.29181
4,24.5631,7.29284
4,24.6602,7.28646
4,24.7573,7.27572
4,24.8544,7.26193
4,24.9515,7.24587
4,25.0485,7.22911
4,25.1456,7.21237
4,25.2427,7.19896
4,25.3398,7.18938
4,25.4369,7.18001
4,25.5340,7.16856
4,25.6311,7.15988
4,25.7282,7.15774
4,25.8252,7.16265
4,25.9223,7.17661
4,26.0194,7.19572
4,26.1165,7.20578
4,26.2136,7.19963
4,26.3107,7.18090
4,26.4078,7.16375
4,26.5049,7.15760
4,26.6019,7.16043
4,26.6990,7.16787
4,26.7961,7.17780
4,26.8932,7.18780
4,26.9903,7.19833
4,27.0874,7.20744
4,27.1845,7.21304
4,27.2816,7.21537
4,27.3786,7.21519
4,27.4757,7.21083
4,27.5728,7.20273
4,27.6699,7.19305
4,27.7670,7.18808
4,27.8641,7.18995
4,27.9612,7.19190
4,28.0583,7.18839
4,28.1553,7.18090
4,28.2524,7.17312
4,28.3495,7.16941
4,28.4466,7.17388
4,28.5437,7.18382
4,28.6408,7.19273
4,28.7379,7.19912
4,28.8350,7.20332
4,28.9320,7.20805
4,29.0291,7.21693
4,29.1262,7.22911
4,29.2233,7.24308
4,29.3204,7.26149
4,29.4175,7.28489
4,29.5146,7.31108
4,29.6117,7.33593
4,29.7087,7.35495
4,29.8058,7.36474
4,29.9029,7.36256
4,30.0000,7.35003
5,0.0000,8.51489
5,0.0971,8.51779
5,0.1942,8.51808
5,0.2913,8.51492
5,0.3883,8.50942
5,0.4854,8.50356
5,0.5825,8.49945
5,0.6796,8.49687
5,0.7767,8.49499
5,0.8738,8.49257
5,0.9709,8.48919
5,1.0680,8.48527
5,1.1650,8.48196
5,1.2621,8.47989
5,1.3592,8.47897
5,1.4563,8.47772
5,1.5534,8.47544
5,1.6505,8.47278
5,1.7476,8.47090
5,1.8447,8.47029
5,1.9417,8.47004
5,2.0388,8.46996
5,2.1359,8.47044
5,2.2330,8.47212
5,2.3301,8.47530
5,2.4272,8.47985
5,2.5243,8.48523
5,2.6214,8.49010
5,2.7184,8.49350
5,2.8155,8.49535
5,2.9126,8.49610
5,3.0097,8.49587
5,3.1068,8.49520
5,3.2039,8.49413
5,3.3010,8.49273
5,3.3981,8.49129
5,3.4951,8.49044
5,3.5922,8.49114
5,3.6893,8.49294
5,3.7864,8.49502
5,3.8835,8.49691
5,3.9806,8.49898
5,4.0777,8.50132
5,4.1748,8.50374
5,4.2718,8.50647
5,4.3689,8.50953
5,4.4660,8.51275
5,4.5631,8.51582
5,4.6602,8.51773
5,4.7573,8.51873
5,4.8544,8.51955
5,4.9515,8.52045
5,5.0485,8.52119
5,5.1456,8.52159
5,5.2427,8.52203
5,5.3398,8.52238
5,5.4369,8.52224
5,5.5340,8.52035
5,5.6311,8.51636
5,5.7282,8.51090
5,5.8252,8.50482
5,5.9223,8.49828
5,6.0194,8.49105
5,6.1165,8.48426
5,6.2136,8.47893
5,6.3107,8.47564
5,6.4078,8.47435
5,6.5049,8.47416
5,6.6019,8.47515
5,6.6990,8.47715
5,6.7961,8.47748
5,6.8932,8.47445
5,6.9903,8.46874
5,7.0874,8.46202
5,7.1845,8.45573
5,7.2816,8.45166
5,7.3786,8.45091
5,7.4757,8.45306
5,7.5728,8.45665
5,7.6699,8.45992
5,7.7670,8.46300
5,7.8641,8.46537
5,7.9612,8.46553
5,8.0583,8.46342
5,8.1553,8.46007
5,8.2524,8.45603
5,8.3495,8.45297
5,8.4466,8.45348
5,8.5437,8.45809
5,8.6408,8.46622
5,8.7379,8.47682
5,8.8350,8.48796
5,8.9320,8.49869
5,9.0291,8.50807
5,9.1262,8.51488
5,9.2233,8.51721
5,9.3204,8.51446
5,9.4175,8.50689
5,9.5146,8.49679
5,9.6117,8.48726
5,9.7087,8.48114
5,9.8058,8.47982
5,9.9029,8.48267
5,10.0000,8.48825
5,10.0971,8.49435
5,10.1942,8.50034
5,10.2913,8.50693
5,10.3883,8.51330
5,10.4854,8.51789
5,10.5825,8.52004
5,10.6796,8.52083
5,10.7767,8.52128
5,10.8738,8.52178
5,10.9709,8.52186
5,11.0680,8.52051
5,11.1650,8.51722
5,11.2621,8.51188
5,11.3592,8.50475
5,11.4563,8.49774
5,11.5534,8.49239
5,11.6505,8.48747
5,11.7476,8.48216
5,11.8447,8.47602
5,11.9417,8.46901
5,12.0388,8.46165
5,12.1359,8.45556
5,12.2330,8.45126
5,12.3301,8.44891
5,12.4272,8.44829
5,12.5243,8.44936
5,12.6214,8.45168
5,12.7184,8.45567
5,12.8155,8.46123
5,12.9126,8.46738
5,13.0097,8.47381
5,13.1068,8.48036
5,13.2039,8.48725
5,13.3010,8.49393
5,13.3981,8.49897
5,13.4951,8.50223
5,13.5922,8.50463
5,13.6893,8.50587
5,13.7864,8.50497
5,13.8835,8.50234
5,13.9806,8.49799
5,14.0777,8.49227
5,14.1748,8.48546
5,14.2718,8.47770
5,14.3689,8.46900
5,14.4660,8.46018
5,14.5631,8.45250
5,14.6602,8.44609
5,14.7573,8.44149
5,14.8544,8.43979
5,14.9515,8.44126
5,15.0485,8.44503
5,15.1456,8.44983
5,15.2427,8.45525
5,15.3398,8.46110
5,15.4369,8.46692
5,15.5340,8.47269
5,15.6311,8.47805
5,15.7282,8.48210
5,15.8252,8.48463
5,15.9223,8.48560
5,16.0194,8.48628
5,16.1165,8.48716
5,16.2136,8.48668
5,16.3107,8.48303
5,16.4078,8.47626
5,16.5049,8.46814
5,16.6019,8.46046
5,16.6990,8.45383
5,16.7961,8.44799
5,16.8932,8.44425
5,16.9903,8.44387
5,17.0874,8.44728
5,17.1845,8.45392
5,17.2816,8.46233
5,17.3786,8.47084
5,17.4757,8.47843
5,17.5728,8.48542
5,17.6699,8.49310
5,17.7670,8.50252
5,17.8641,8.51290
5,17.9612,8.52328
5,18.0583,8.53300
5,18.1553,8.54165
5,18.2524,8.54812
5,18.3495,8.55222
5,18.4466,8.55394
5,18.5437,8.55175
5,18.6408,8.54422
5,18.7379,8.53126
5,18.8350,8.51516
5,18.9320,8.49981
5,19.0291,8.48787
5,19.1262,8.47917
5,19.2233,8.47184
5,19.3204,8.46459
5,19.4175,8.45698
5,19.5146,8.44956
5,19.6117,8.44304
5,19.7087,8.43863
5,19.8058,8.43715
5,19.9029,8.43836
5,20.0000,8.44006
5,20.0971,8.44056
5,20.1942,8.43939
5,20.2913,8.43691
5,20.3883,8.43515
5,20.4854,8.43538
5,20.5825,8.43772
5,20.6796,8.44206
5,20.7767,8.44834
5,20.8738,8.45684
5,20.9709,8.46672
5,21.0680,8.47683
5,21.1650,8.48575
5,21.2621,8.48980
5,21.3592,8.48885
5,21.4563,8.48518
5,21.5534,8.48044
5,21.6505,8.47678
5,21.7476,8.47588
5,21.8447,8.47811
5,21.9417,8.48265
5,22.0388,8.48790
5,22.1359,8.49204
5,22.2330,8.49296
5,22.3301,8.48995
5,22.4272,8.48418
5,22.5243,8.47681
5,22.6214,8.46945
5,22.7184,8.46315
5,22.8155,8.45828
5,22.9126,8.45521
5,23.0097,8.45456
5,23.1068,8.45522
5,23.2039,8.45532
5,23.3010,8.45361
5,23.3981,8.44886
5,23.4951,8.44147
5,23.5922,8.43302
5,23.6893,8.42552
5,23.7864,8.42001
5,23.8835,8.41607
5,23.9806,8.41230
5,24.0777,8.40904
5,24.1748,8.40680
5,24.2718,8.40562
5,24.3689,8.40487
5,24.4660,8.40419
5,24.5631,8.40299
5,24.6602,8.40103
5,24.7573,8.39988
5,24.8544,8.40116
5,24.9515,8.40543
5,25.0485,8.41183
5,25.1456,8.41913
5,25.2427,8.42515
5,25.3398,8.42948
5,25.4369,8.43337
5,25.5340,8.43777
5,25.6311,8.44352
5,25.7282,8.45011
5,25.8252,8.45615
5,25.9223,8.46188
5,26.0194,8.46842
5,26.1165,8.47552
5,26.2136,8.48317
5,26.3107,8.49094
5,26.4078,8.49847
5,26.5049,8.50593
5,26.6019,8.51450
5,26.6990,8.52425
5,26.7961,8.53512
5,26.8932,8.54599
5,26.9903,8.55574
5,27.0874,8.56241
5,27.1845,8.56622
5,27.2816,8.56908
5,27.3786,8.57232
5,27.4757,8.57659
5,27.5728,8.58129
5,27.6699,8.58433
5,27.7670,8.58434
5,27.8641,8.58110
5,27.9612,8.57587
5,28.0583,8.57005
5,28.1553,8.56447
5,28.2524,8.55858
5,28.3495,8.55132
5,28.4466,8.54374
5,28.5437,8.53737
5,28.6408,8.53190
5,28.7379,8.52686
5,28.8350,8.52170
5,28.9320,8.51549
5,29.0291,8.50763
5,29.1262,8.49777
5,29.2233,8.48534
5,29.3204,8.47309
5,29.4175,8.46381
5,29.5146,8.45839
5,29.6117,8.45691
5,29.7087,8.45919
5,29.8058,8.46489
5,29.9029,8.47231
5,30.0000,8.47949
