# DIGITIZED_EXTERNAL_VALIDATION; Ginis et al. 2012 J Vis 12(3):20; y = Log(PSF) as printed (log10 of PSF in sr^-1, see README)
curve,theta_deg,log10_psf
GP,1.2347,1.2091
GP,1.2384,1.2091
GP,1.2421,1.2065
GP,1.2458,1.2038
GP,1.2495,1.1985
GP,1.2532,1.1985
GP,1.2569,1.1931
GP,1.2606,1.1931
GP,1.2643,1.1878
GP,1.2680,1.1878
GP,1.2717,1.1851
GP,1.2754,1.1825
GP,1.2791,1.1825
GP,1.2828,1.1772
GP,1.2865,1.1772
GP,1.2902,1.1718
GP,1.2939,1.1665
GP,1.2976,1.1665
GP,1.3012,1.1665
GP,1.3049,1.1638
GP,1.3086,1.1612
GP,1.3123,1.1558
GP,1.3160,1.1558
GP,1.3197,1.1532
GP,1.3234,1.1478
GP,1.3271,1.1452
GP,1.3308,1.1452
GP,1.3345,1.1425
GP,1.3382,1.1399
GP,1.3419,1.1399
GP,1.3456,1.1345
GP,1.3493,1.1319
GP,1.3530,1.1265
GP,1.3567,1.1239
GP,1.3604,1.1239
GP,1.3641,1.1239
GP,1.3678,1.1239
GP,1.3715,1.1185
GP,1.3752,1.1185
GP,1.3789,1.1159
GP,1.3826,1.1079
GP,1.3863,1.1052
GP,1.3900,1.1052
GP,1.3937,1.1052
GP,1.3974,1.1026
GP,1.4011,1.0999
GP,1.4048,1.0999
GP,1.4085,1.0946
GP,1.4122,1.0919
GP,1.4159,1.0892
GP,1.4196,1.0866
GP,1.4233,1.0839
GP,1.4270,1.0812
GP,1.4307,1.0812
GP,1.4343,1.0812
GP,1.4380,1.0786
GP,1.4417,1.0732
GP,1.4454,1.0706
GP,1.4491,1.0679
GP,1.4528,1.0679
GP,1.4565,1.0653
GP,1.4602,1.0653
GP,1.4639,1.0626
GP,1.4676,1.0626
GP,1.4713,1.0573
GP,1.4750,1.0573
GP,1.4787,1.0519
GP,1.4824,1.0466
GP,1.4861,1.0466
GP,1.4898,1.0413
GP,1.4935,1.0413
GP,1.4972,1.0386
GP,1.5009,1.0386
GP,1.5046,1.0359
GP,1.5083,1.0359
GP,1.5120,1.0333
GP,1.5157,1.0333
GP,1.5194,1.0306
GP,1.5231,1.0280
GP,1.5268,1.0226
GP,1.5305,1.0200
GP,1.5342,1.0173
GP,1.5379,1.0173
GP,1.5416,1.0173
GP,1.5453,1.0120
GP,1.5490,1.0120
GP,1.5527,1.0093
GP,1.5564,1.0066
GP,1.5601,1.0013
GP,1.5638,0.9986
GP,1.5674,0.9986
GP,1.5711,0.9986
GP,1.5748,0.9933
GP,1.5785,0.9933
GP,1.5822,0.9907
GP,1.5859,0.9907
GP,1.5896,0.9880
GP,1.5933,0.9827
GP,1.5970,0.9827
GP,1.6007,0.9800
GP,1.6044,0.9800
GP,1.6081,0.9747
GP,1.6118,0.9747
GP,1.6155,0.9747
GP,1.6192,0.9693
GP,1.6229,0.9640
GP,1.6266,0.9640
GP,1.6303,0.9613
GP,1.6340,0.9613
GP,1.6377,0.9587
GP,1.6414,0.9560
GP,1.6451,0.9560
GP,1.6488,0.9533
GP,1.6525,0.9507
GP,1.6562,0.9507
